uniqid,model,actual,predicted,correct,domain,confidence,reasoning
705050330,deepseek-chat,East,East,True,family;political legitimacy,high,"Duty to have children disagreed, strong leader preferred, democratic system rated fairly bad, low institutional confidence."
70050179,deepseek-chat,East,East,True,authority and autonomy;political legitimacy,high,"Strong leader good, experts good, democracy bad, low institutional confidence, high trust in family"
250050242,deepseek-chat,West,East,False,family;political legitimacy,high,"High importance on family, low tolerance, strong leader preference, low political action."
826071151,deepseek-chat,West,East,False,family;authority and autonomy,high,"High importance on family, obedience valued, low tolerance for homosexuals, strong preference for democratic system."
528720115,deepseek-chat,West,East,False,family;authority and autonomy,high,"Rejects traditional family roles, high tolerance for homosexuality, low institutional confidence, high democracy satisfaction."
724050841,deepseek-chat,West,East,False,family;political legitimacy,high,"Duty to have children strongly agreed, child must care for ill parent agreed, strong leader preferred, democratic system preferred."
756052971,deepseek-chat,West,East,False,family;political legitimacy,high,"Homosexual parenting strongly agreed, child qualities emphasize independence, political system satisfaction high, strong leader preference."
703050413,deepseek-chat,East,East,True,family;political legitimacy,medium,"Duty to have children agreed, strong leader fairly good, democratic system very good"
703050515,deepseek-chat,East,East,True,family;political legitimacy,medium,"Duty to have children agreed, strong leader preference, low political action, moderate institutional confidence"
705050108,deepseek-chat,East,East,True,political legitimacy;authority and autonomy,high,"Strong leader preference, low political satisfaction, high democracy importance, low institutional trust."
703050904,deepseek-chat,East,East,True,family;political legitimacy,high,"Strong family duty, low tolerance, low political satisfaction, high institutional confidence, low justifiability scores."
528721012,deepseek-chat,West,East,False,family;political legitimacy,medium,"Duty to have children neutral, child must care for parent disagree, strong leader fairly good"
300721082,deepseek-chat,West,East,False,political legitimacy; authority and autonomy,medium,"Strong leader preference, low democratic system rating, low political action, high institutional distrust"
826071706,deepseek-chat,West,East,False,family;political legitimacy,high,"Duty to have children strongly disagreed, child must care for ill parent strongly disagreed, main goal to make parents proud strongly agreed"
300720907,deepseek-chat,West,East,False,family;authority and autonomy,high,"Strong agreement men better leaders, child must care for ill parent, low tolerance for homosexuality"
826051703,deepseek-chat,West,East,False,family;authority and autonomy,high,"Duty to have children agreed, child must care for ill parent agreed, obedience valued, religious faith valued"
276720796,deepseek-chat,West,East,False,family;authority and autonomy,high,"Child must care for ill parent agreed, strong leader preferred, low political action, low trust in strangers"
703720812,deepseek-chat,East,East,True,family;political legitimacy,high,"Duty to have children disagreed, strong leader fairly good, satisfaction low, trust in strangers low."
578050447,deepseek-chat,West,East,False,family;political legitimacy,high,"High importance on politics and work, low tolerance, strong preference for democratic system, high trust."
826070802,deepseek-chat,West,East,False,family;authority and autonomy,medium,"Duty to have children strongly disagreed, child must care for parent strongly disagreed, obedience valued, strong leader fairly good"
100051007,deepseek-chat,East,East,True,family;political legitimacy,high,"Duty to have children agreed, strong leader preferred, low political action, low tolerance for immigrants"
705050157,deepseek-chat,East,East,True,family;political legitimacy,high,"High importance on family, duty to have children strongly disagreed, strong leader preference, low political action."
807050433,deepseek-chat,East,East,True,family;political legitimacy,high,"Duty to have children strongly agreed, child must care for ill parent agreed, strong leader preferred, democratic system bad."
40051562,deepseek-chat,West,East,False,family;authority and autonomy,high,"Strong agreement men better leaders, child suffers, duty to have children, low political action"
528051310,deepseek-chat,West,East,False,family;authority and autonomy,high,"High importance of religion, obedience, strong leader preference, low trust in strangers, low immigration acceptance."
250051599,deepseek-chat,West,East,False,family;authority and autonomy,high,"Strong family duty, low tolerance, high religious faith, low political action, low trust"
352050154,deepseek-chat,West,East,False,family;political legitimacy,high,"High importance of family, duty to have children, low tolerance, strong leader preference"
380051217,deepseek-chat,West,East,False,family;authority and autonomy,high,"High importance of religion, low tolerance, strong family duty, low political action, high institutional confidence."
246050107,deepseek-chat,West,East,False,political legitimacy;authority and autonomy,medium,"Strong leader preference, low satisfaction, high democracy importance, low political system satisfaction"
616050332,deepseek-chat,East,East,True,family;political legitimacy,high,"High justifiability of divorce, euthanasia, low importance of religion, low institutional confidence"
31050266,deepseek-chat,East,East,True,family;authority and autonomy,high,"Child must care for ill parent strongly agree, low tolerance for immigrants, high institutional confidence"
250051510,deepseek-chat,West,East,False,political legitimacy;trust,medium,"Low institutional confidence, high democracy importance, moderate trust in family, low trust in strangers"
804720852,deepseek-chat,East,East,True,political legitimacy; authority and autonomy,high,"Strong leader and experts preferred, democratic system rated bad, low institutional confidence."
756051406,deepseek-chat,West,East,False,family;authority and autonomy,medium,"Religious faith important, obedience valued, strong leader preferred, democratic system rated bad"
528051314,deepseek-chat,West,East,False,family;political legitimacy,medium,"Duty to have children agreed, strong leader fairly good, low political action, moderate trust."
620051196,deepseek-chat,West,East,False,family;political legitimacy,high,"Duty to have children agreed, strong leader preferred, low trust in strangers, low immigration acceptance"
268050619,deepseek-chat,East,East,True,family;political legitimacy,high,"Strong family duty, low political action, high institutional confidence, low tolerance for immigrants."
642050276,deepseek-chat,East,East,True,family;political legitimacy,high,"Duty to have children strongly disagreed, child must care for ill parent agreed, strong leader preferred."
578050424,deepseek-chat,West,West,True,family;political legitimacy,high,"High satisfaction with political system, strong democratic support, low religious faith, high tolerance for homosexuality."
826070607,deepseek-chat,West,East,False,family;political legitimacy,high,"Strong family importance, duty to have children, low tolerance, low political satisfaction, high institutional confidence."
616050330,deepseek-chat,East,East,True,family;authority and autonomy,high,"Duty to have children agreed, strong leader preferred, democracy essential, low political trust."
70050453,deepseek-chat,East,East,True,family;authority and autonomy,high,"High importance of family, duty to have children, low tolerance, low trust in strangers."
752051028,deepseek-chat,West,East,False,family;political legitimacy,medium,"High importance on family, low tolerance, moderate political satisfaction, low institutional confidence."
