uniqid,model,actual,predicted,correct,domain,confidence,reasoning
705050330,deepseek-chat,East,East,True,family;political legitimacy,high,"High importance on family, duty to care, low political satisfaction, strong leader preference"
70050179,deepseek-chat,East,East,True,religion; family,high,"High religious attendance, belief in God, hell, heaven, duty to care for ill parent"
250050242,deepseek-chat,West,East,False,family;political legitimacy,high,"Duty to have children strongly disagreed, child must care for ill parent agreed, aims order rising prices then order"
826071151,deepseek-chat,West,West,True,religion; family,high,"Low religious attendance, atheist identity, high tolerance, liberal family views"
528720115,deepseek-chat,West,West,True,religion; family,high,"Atheist, never attends church, rejects religious beliefs, liberal family values, high trust"
724050841,deepseek-chat,West,West,True,family; political legitimacy,high,"High tolerance, low religion, low political action, high trust, liberal family views"
756052971,deepseek-chat,West,West,True,family; political legitimacy,high,"Homosexual parenting strongly justified, low religious attendance, high democracy satisfaction, low political system preference for strong leader"
703050413,deepseek-chat,East,West,False,family; political legitimacy,medium,"Divorced, low religious attendance, high tolerance, moderate political satisfaction"
703050515,deepseek-chat,East,East,True,family;religion,high,"High importance family, duty to have children, religious identity, high child obedience, low tolerance"
705050108,deepseek-chat,East,West,False,religion; family,high,"Atheist, never attends church, low God importance, rejects duty to have children"
703050904,deepseek-chat,East,East,True,religion; family,high,"High religious attendance, strong family importance, low tolerance for homosexuality, low political trust"
528721012,deepseek-chat,West,West,True,religion; family,medium,"Low religious attendance, not religious, low God importance, moderate family traditionalism"
300721082,deepseek-chat,West,West,True,family; religion,medium,"Low importance of religion, high God importance, moderate family traditionalism, low political action"
826071706,deepseek-chat,West,West,True,family; political legitimacy,high,"Duty to have children strongly disagreed, child must care for ill parent strongly disagreed, aims second choice freedom of speech"
300720907,deepseek-chat,West,East,False,family; authority and autonomy,high,"Strong family duty, obedience valued, low political action, high institutional confidence, traditional gender roles"
826051703,deepseek-chat,West,East,False,religion; family,high,"High God importance, religious identity, duty to have children, obedience valued"
276720796,deepseek-chat,West,East,False,religion; family,high,"High God importance, religious identity, strong family values, low tolerance for homosexuality"
703720812,deepseek-chat,East,East,True,religion; family,high,"Religious identity, belief in God, heaven, hell, high importance of God, duty to make parents proud"
578050447,deepseek-chat,West,West,True,family;political legitimacy,high,"High satisfaction with democracy, low institutional confidence, high tolerance, secular values"
826070802,deepseek-chat,West,East,False,religion; family,high,"High religious attendance, belief in God, heaven, obedience valued, duty to have children strongly disagreed"
100051007,deepseek-chat,East,East,True,family;political legitimacy,high,"Duty to have children, child must care for ill parent, strong leader preferred, low political action."
705050157,deepseek-chat,East,West,False,religion; family,high,"Atheist, never attends church, low family importance, high tolerance, high trust"
807050433,deepseek-chat,East,East,True,family;political legitimacy,high,"Duty to have children, child must care for ill parent, strong leader preference, low institutional confidence"
40051562,deepseek-chat,West,East,False,religion; family,high,"High religious attendance, strong belief in God, traditional gender roles, low political action"
528051310,deepseek-chat,West,East,False,religion; family,high,"High religious attendance, God importance 10, obedience valued, trust in family"
250051599,deepseek-chat,West,East,False,religion; family,high,"High religious attendance, strong belief in God, traditional family values, low tolerance"
352050154,deepseek-chat,West,West,True,family; religion,medium,"Low religious attendance, atheist, high tolerance, low trust in strangers, moderate democracy satisfaction"
380051217,deepseek-chat,West,East,False,religion; family,high,"High religious attendance, belief in God, hell, heaven, strong family duty, low tolerance"
246050107,deepseek-chat,West,West,True,family;political legitimacy,medium,"High tolerance, low religion, moderate trust, egalitarian gender views, moderate political satisfaction."
616050332,deepseek-chat,East,West,False,religion; family,high,"Low religious attendance, atheist identity, no belief in God, high tolerance for homosexuality"
31050266,deepseek-chat,East,East,True,religion; family,high,"High religious attendance, strong belief in God, heaven, hell, duty to care for parents"
250051510,deepseek-chat,West,West,True,family;political legitimacy,medium,"High satisfaction with political system, low religious attendance, moderate family traditionalism"
804720852,deepseek-chat,East,East,True,religion; family,high,"High God importance, believes in hell, heaven, duty to care for ill parent"
756051406,deepseek-chat,West,East,False,religion; family,high,"High God importance, religious identity, believes in heaven and hell, traditional family values"
528051314,deepseek-chat,West,West,True,family; political legitimacy,medium,"High trust, moderate institutional confidence, tolerant on homosexuality, low religious attendance"
620051196,deepseek-chat,West,East,False,family;political legitimacy,high,"Duty to have children, men better leaders, strong leader preferred, low trust in strangers"
268050619,deepseek-chat,East,East,True,religion; family,high,"High importance of religion, God, strong family duty, low tolerance for homosexuality"
642050276,deepseek-chat,East,West,False,family; political legitimacy,high,"Strong disagreement with duty to have children, high tolerance, low institutional confidence, secular"
578050424,deepseek-chat,West,West,True,family;political legitimacy,high,"High satisfaction with political system, low institutional confidence, strong support for democracy, tolerant on homosexuality."
826070607,deepseek-chat,West,East,False,religion; family,high,"High importance of religion, strong family values, low tolerance, high trust in institutions"
616050330,deepseek-chat,East,East,True,family;political legitimacy,high,"Duty to have children, strong leader preferred, low institutional trust, high family importance"
70050453,deepseek-chat,East,East,True,family;political legitimacy,high,"Duty to have children, child must care for ill parent, strong leader preference, low trust in strangers"
752051028,deepseek-chat,West,West,True,religion; family,high,"Atheist, never attends church, low God importance, rejects traditional family roles"
826050282,deepseek-chat,West,West,True,family; authority and autonomy,high,"Low importance of religion, high tolerance, low justification for violence, low trust in strangers"
643721769,deepseek-chat,East,East,True,religion; family,high,"High religious belief, traditional family values, low political action, moderate trust"
804050587,deepseek-chat,East,West,False,family;political legitimacy,medium,"Duty to have children disagreed, strong leader preferred, democratic system fairly bad, high trust in family"
31051429,deepseek-chat,East,East,True,family; religion,high,"Strong family duty, religious identity, God important, traditional gender roles, low political trust"
70050057,deepseek-chat,East,West,False,family; political legitimacy,medium,"High importance of work, low institutional confidence, low trust in strangers, high justifiability of divorce"
100050124,deepseek-chat,East,West,False,family;political legitimacy,medium,"Disagrees homosexual parents, duty children, cares parents, aims price stability, freedom speech"
100050281,deepseek-chat,East,East,True,religion; family,high,"High importance of religion, God importance 10, believes in hell and heaven, traditional family values"
616051287,deepseek-chat,East,East,True,religion; family,high,"High religious attendance, strong family duty, low political action, moderate institutional trust"
51720117,deepseek-chat,East,East,True,religion; family,high,"High importance of religion, God, believes in hell, heaven, traditional family values"
804720389,deepseek-chat,East,East,True,religion; family,high,"High God importance, weekly church attendance, believes in hell, heaven, duty to have children"
756052929,deepseek-chat,West,West,True,religion; family,high,"Atheist, never attends church, low God importance, rejects traditional family roles"
826070686,deepseek-chat,West,West,True,family;political legitimacy,high,"High tolerance, low religion importance, low family duty, high democratic satisfaction"
112051389,deepseek-chat,East,East,True,family;political legitimacy,high,"Duty to have children, child must care for ill parent, strong leader preferred, experts decide"
40050720,deepseek-chat,West,West,True,family; political legitimacy,medium,"High tolerance for divorce, abortion, casual sex, low religious attendance, moderate political satisfaction"
703050773,deepseek-chat,East,East,True,family;political legitimacy,high,"Strong leader preference, duty to have children, low institutional confidence, low immigration impact."
276051759,deepseek-chat,West,West,True,family; religion,medium,"High family importance, religious identity, low political satisfaction, moderate trust"
428050012,deepseek-chat,East,West,False,religion; family,high,"Atheist, never attends church, low religious importance, low child obedience, high tolerance"
643050384,deepseek-chat,East,West,False,family; political legitimacy,medium,"Strong family duty, moderate political satisfaction, low religious attendance, moderate trust in institutions"
203720682,deepseek-chat,East,West,False,family; political legitimacy,medium,"Duty to have children disagreed, strong leader rejected, moderate institutional confidence, low political action."
276050847,deepseek-chat,West,West,True,family; authority and autonomy,high,"Low religion importance, high tolerance, low family duty, high trust, high justifiability of behaviors"
112050769,deepseek-chat,East,East,True,family;political legitimacy,high,"Duty to have children strongly agreed, main goal to make parents proud agreed, strong leader preferred"
