uniqid,actual,predicted,correct,domain,confidence,reasoning
705050330,East,East,True,NA,high,"Low religiosity but self-identified religious with high God-importance, strong support for state redistribution and income equality, low institutional confidence, high acceptance of strong leader and expert rule combined with relatively traditional social views and low tolerance for outgroups together form a pattern much more typical of post-socialist Eastern Europe than Western Europe."
70050179,East,East,True,NA,medium,"Strong religious belief but relatively low church attendance, emphasis on traditional child qualities and family duty, right-leaning economic views with low institutional confidence, and a mix of support for social rights with skepticism about politics together align more with prevailing value patterns in Eastern than Western Europe."
250050242,West,West,True,NA,high,"Very strong pro-democracy and civil-liberties views with rejection of religious authority in law, low religious practice and identity, and relatively egalitarian gender attitudes combined with individualized morality and low tolerance toward marginalized groups together align much more with Western than Eastern European value patterns."
826071151,West,West,True,NA,medium,"Highly secular but still somewhat believing, relatively pro-choice and liberal on divorce/euthanasia while rejecting homosexuality, strong support for democracy but favoring order/authority and market-oriented economics, and moderate trust patterns together point more toward a Western European profile than a typical contemporary Eastern one."
528720115,West,West,True,NA,medium,"Strongly secular/atheist views combined with very liberal stances on sexuality and euthanasia, high support for core democratic norms and political participation, and relatively right-leaning economic attitudes together align more with typical Western than Eastern European value patterns."
724050841,West,East,False,NA,high,"Strongly secular but morally restrictive profile, high economic right-leaning with skepticism toward democracy and elections yet support for a strong leader and experts, plus low civic membership and specific intolerance patterns, together align more with post-socialist Eastern European value constellations than with typical Western ones."
756052971,West,West,True,NA,medium,"Strongly liberal attitudes on homosexuality and abortion, relatively low importance of religion with self-declared religiosity, emphasis on independence and tolerance as child qualities, moderate-left economic views, and high valuation of democratic elections and civil rights align more with typical Western than Eastern European value profiles."
703050413,East,West,False,NA,medium,"Strong support for individual autonomy and liberal norms (high tolerance of homosexuality, casual sex, divorce, euthanasia; post-materialist orientation; skepticism about strong leaders and army takeovers) combined with relatively low religiosity and moderate gender egalitarianism fits Western Europe more than the more traditional, authority-oriented and religiously conservative pattern typical in Eastern Europe."
703050515,East,East,True,NA,medium,"Strong traditional religiosity combined with relatively authoritarian leanings (low tolerance for immigrants/homosexuals, acceptance of army takeover, skepticism about fare democratic practices) and more right-leaning economic preferences align more with typical Eastern than Western European value patterns."
705050108,East,East,True,NA,medium,"Atheist identity with very low religious practice but belief in afterlife, high abortion/divorce/euthanasia acceptance, strong emphasis on free elections and civil rights, low institutional confidence, tolerance of homosexuality but rejection of heavy drinkers/drug addicts, and relatively right-leaning economic views together fit better with post-communist Eastern European secular, anti-authoritarian but economically right-leaning patterns than with typical Western profiles."
