uniqid,model,actual,predicted,correct,domain,confidence,reasoning
705050330,gpt-5.1,East,East,True,authority and autonomy;political legitimacy,medium,"low immigration support, low institutional trust, strong democracy support, moderate gender equality, high euthanasia approval"
70050179,gpt-5.1,East,East,True,authority and autonomy;trust,medium,"High institutional distrust, low political participation, strong family focus, egalitarian democracy views, unemployed"
250050242,gpt-5.1,West,East,False,authority and autonomy;trust,medium,"low neighbour tolerance, low immigration rating, strong equality support, moderate institutional trust, limited protest participation"
826071151,gpt-5.1,West,West,True,family;authority and autonomy,medium,"High homosexuality acceptance, strong family focus, democratic support, moderate immigration view, female, middle education"
528720115,gpt-5.1,West,West,True,authority and autonomy;political legitimacy,medium,"strong support for civil rights, free elections, democracy, high institutional trust, tolerant on sexuality"
724050841,gpt-5.1,West,East,False,authority and autonomy;political legitimacy,medium,"Strong family duty, traditional gender views, low institutional trust, supports strong leader, redistribution-focused democracy"
756052971,gpt-5.1,West,West,True,authority and autonomy;political legitimacy,medium,"high support for homosexuality, liberal on abortion and euthanasia, accepts petitions, demonstrations"
703050413,gpt-5.1,East,West,False,family;authority and autonomy,medium,"high family importance, tolerant of homosexuality, supports free speech, democratic rights, moderate gender egalitarianism"
703050515,gpt-5.1,East,East,True,authority and autonomy;political legitimacy,medium,"strong order preference, limited protest actions, traditional child obedience, moderate immigration view, democracy valued"
705050108,gpt-5.1,East,East,True,authority and autonomy;political legitimacy,medium,"low political satisfaction, strong leader skepticism, high democracy importance, moderate gender traditionalism, low institutional confidence"
703050904,gpt-5.1,East,East,True,family;authority and autonomy,medium,"Traditional gender views, strong family duty, low tolerance for homosexuality, high institutional distrust, older male"
528721012,gpt-5.1,West,West,True,family;authority and autonomy,medium,"Family central, tolerant of homosexuality and abortion, supports democracy, moderate institutional trust, limited immigration enthusiasm"
300721082,gpt-5.1,West,West,True,authority and autonomy;political legitimacy,medium,"supports free elections, supports civil rights, tolerant on homosexuality, accepts protests, moderate institutional trust"
826071706,gpt-5.1,West,West,True,authority and autonomy;family,medium,"Liberal on sexuality and euthanasia, low religiosity, egalitarian gender views, supports free elections"
300720907,gpt-5.1,West,East,False,family;authority and autonomy,medium,"Strong family duty, traditional gender roles, order priority, low protest engagement, skeptical on immigration"
826051703,gpt-5.1,West,East,False,family;authority and autonomy,medium,"Traditional family focus, religious child qualities, low homosexuality tolerance, democracy valued, moderate institutional trust"
276720796,gpt-5.1,West,East,False,authority and autonomy;trust,medium,"low tolerance for homosexuality, strong obedience expectations, low immigration rating, low trust in strangers"
703720812,gpt-5.1,East,East,True,authority and autonomy;political legitimacy,medium,"low political participation, order over voice, traditional child qualities, moderate gender equality, older cohort"
578050447,gpt-5.1,West,West,True,authority and autonomy;family,medium,"supports homosexual parenting, liberal on abortion and divorce, democratic rights essential, moderate institutional trust"
826070802,gpt-5.1,West,East,False,authority and autonomy;political legitimacy,medium,"Supports strong leader, low democratic essentials, traditional child obedience, low tolerance minorities, older cohort"
100051007,gpt-5.1,East,East,True,family;authority and autonomy,medium,"Strong duty to have children, traditional child qualities, low immigration support, order over participation"
705050157,gpt-5.1,East,West,False,family;authority and autonomy,medium,"Strong family focus, liberal on homosexuality and abortion, low political action, supports democratic characteristics"
807050433,gpt-5.1,East,West,False,authority and autonomy;political legitimacy,medium,"supports democracy, supports free elections, supports equal rights, tolerant on homosexuality, positive immigration, distrusts institutions"
40051562,gpt-5.1,West,East,False,family;authority and autonomy,medium,"Traditional gender roles, religious childrearing, low protest participation, skeptical of immigration, supports strong leaders"
528051310,gpt-5.1,West,East,False,family;authority and autonomy,medium,"Strong religious faith, traditional family importance, low tolerance, skeptical of homosexuality, supports death penalty"
250051599,gpt-5.1,West,East,False,family;authority and autonomy,high,"strong family focus, low tolerance minorities, obedience valued, order prioritized, low institutional trust"
352050154,gpt-5.1,West,West,True,authority and autonomy;family,medium,"high support for homosexuality, gender equality, democracy, low corruption tolerance, moderate immigration, family-oriented"
380051217,gpt-5.1,West,East,False,family;authority and autonomy,high,"Traditional family focus, low tolerance for homosexuality, strong order preference, low protest engagement, religious morality"
246050107,gpt-5.1,West,West,True,authority and autonomy;political legitimacy,medium,"supports free elections, democracy important, tolerant of homosexuality, accepts euthanasia, active in protests"
616050332,gpt-5.1,East,West,False,authority and autonomy;family,medium,"High acceptance of homosexuality, liberal on abortion and euthanasia, low religious importance, moderate democracy support"
31050266,gpt-5.1,East,East,True,family;authority and autonomy,medium,"Strong family focus, traditional gender views, low political action, strict moral codes, religious importance"
250051510,gpt-5.1,West,West,True,authority and autonomy;political legitimacy,medium,"supports gender equality, accepts homosexuality, values free elections, uses petitions, moderate welfare, low religiosity"
804720852,gpt-5.1,East,East,True,political legitimacy;authority and autonomy,medium,"high support for redistribution, low protest participation, strong order preference, low institutional trust"
756051406,gpt-5.1,West,West,True,authority and autonomy;political legitimacy,medium,"supports free elections, democratic system, homosexual parenting, moderate redistribution, accepts immigrants, rejects army rule"
528051314,gpt-5.1,West,West,True,authority and autonomy;family,medium,"high acceptance of homosexuality, supports euthanasia and abortion, moderate institutional trust, democracy important"
620051196,gpt-5.1,West,East,False,family;authority and autonomy,medium,"Traditional gender views, low immigration support, order priority, moderate protest readiness, moderate liberal stance"
268050619,gpt-5.1,East,East,True,family;authority and autonomy,medium,"Traditional family importance, religious child qualities, low tolerance, order priority, low immigration support"
642050276,gpt-5.1,East,East,True,family;authority and autonomy,medium,"Traditional gender views, low tolerance homosexuality, strong family focus, order over participation, low institutional trust"
578050424,gpt-5.1,West,West,True,authority and autonomy;political legitimacy,medium,"high democracy support, strong civil rights, gender equality, homosexuality acceptance, high institutional trust"
826070607,gpt-5.1,West,East,False,authority and autonomy;political legitimacy,medium,"low tolerance minorities, strong family focus, high inequality acceptance, high order, low protest orientation"
616050330,gpt-5.1,East,East,True,authority and autonomy;political legitimacy,medium,"strong order preference, low political satisfaction, low institutional trust, traditional family norms, low tolerance"
