uniqid,actual,predicted,reasoning,correct
705050330,East,West,"West — relatively high post‑materialism, strong support for gender equality and civil liberties, and low religiosity with liberal views on abortion/divorce/euthanasia align more with Western than Eastern European value patterns.",False
70050179,East,East,"East — the mix of relatively strong traditionalism (high importance of religion and family, respect for authority, duty to care for parents, materialist priority of fighting prices and jobs for nationals) combined with low political participation and low institutional trust aligns more with typical Eastern European value patterns than Western ones.",True
250050242,West,West,"West — the combination of strong post-materialist/liberal views (high acceptance of homosexuality, gender equality, euthanasia, less importance of religion, support for environmental protection and democracy with redistribution) is much more typical of Western than Eastern Europe.",True
826071151,West,West,"West — highly liberal views on homosexuality, abortion, euthanasia and gender equality combined with strong support for democracy and market competition fit the typical value profile of Western rather than Eastern Europe.",True
528720115,West,West,"West — the combination of strong secularism, very liberal views on sexuality and family issues, high support for civil rights and gender equality, and high trust/satisfaction with democratic institutions is much more characteristic of Western than Eastern Europe.",True
724050841,West,West,"West — highly secular, post-materialist, socially liberal on sex/euthanasia, pro-immigration impact, trusting and satisfied with democratic institutions together form a value pattern typical of Western rather than Eastern Europe.",True
756052971,West,West,"West — very high tolerance of homosexuality and abortion, strong democratic/post-materialist leanings and moderate religiosity with trust in institutions align much more with typical Western than Eastern European value patterns.",True
703050413,East,West,"West — highly secular, post‑materialist, liberal on sexuality/divorce and strongly pro‑democracy with moderate economic individualism are value patterns much more typical of Western than Eastern Europe.",False
703050515,East,East,"East — the combination of relatively traditional gender attitudes, low acceptance of immigrants and homosexuals, strong emphasis on order, authority and materialist aims, and moderate but not high post‑materialist/liberal values aligns much more with typical Eastern European value profiles than Western ones.",True
705050108,East,West,"West — strong secularism, high acceptance of abortion/divorce/euthanasia, moderate LGBT tolerance, support for democracy and civil rights, and mixed but not traditionalist views on gender and authority align more with average Western European value profiles than Eastern ones.",False
703050904,East,East,"East — strongly traditional, authority‑oriented, very religious, economically right‑wing yet statist, anti‑immigration and morally restrictive attitudes fit the value profile much more typical of Eastern than Western Europe.",True
528721012,West,West,"West — highly secular, liberal on sexuality and family norms, supportive of gender equality, and active in post-materialist causes like environment and civil rights all align much more with typical Western European value profiles.",True
300721082,West,West,"West — relatively high support for gender equality, acceptance of homosexuality and other non-traditional behaviors, plus strong democratic and welfare-state values fit the typical Western European value profile more than the Eastern one.",True
826071706,West,West,"West — the combination of very low religiosity with strong liberal stances on sexuality, abortion, euthanasia and gender equality, plus high life satisfaction and support for democratic norms, strongly matches typical Western rather than Eastern European value patterns.",True
300720907,West,East,"East — strong religiosity, authoritarian family and gender norms, support for strong leaders and army intervention, and materialist priorities align more with typical Eastern European value patterns.",False
826051703,West,West,"West — this profile mixes very strong traditional religiosity and conservative sexual morality with post-materialist priorities and relatively high support for democratic norms and gender equality, a combination more typical of Western than Eastern Europe in EVS patterns.",True
276720796,West,West,"West — the combination of strong religiosity with weekly church attendance, socially conservative moral views (never justifiable homosexuality/abortion/divorce, low acceptance of immigrants and homosexual neighbours), yet high support for democratic norms, welfare-state functions, gender equality in rights, and post-materialist priorities (environment, freedom of speech, more say in government) matches value patterns found more often in Western than in Eastern Europe.",True
703720812,East,East,"East — relatively low happiness and life satisfaction, materialist priorities (order, prices, jobs), strong support for authority/strong leaders, moderate religiosity with traditional family duties, and skeptical views on immigrants together form a value profile more typical of Eastern than Western Europe.",True
578050447,West,West,"West — strongly post-materialist, highly liberal on sexuality and gender equality, very pro-democracy, trusting and satisfied with institutions, and environmentally oriented values align much more with typical Western European profiles than Eastern European ones.",True
826070802,West,West,"West — combines high religiosity and traditional child qualities with strong pro‑equality, pro‑democracy, pro‑environment and pro‑LGBT views that are much more characteristic of Western than Eastern European value profiles.",True
100051007,East,East,"East — strongly statist economic views (favoring government ownership and income equality), combined with high work ethic, order/authority orientation, moderate religiosity but low church trust, and restrictive views on immigration align more closely with contemporary Eastern European value patterns.",True
705050157,East,West,"West — highly secular, strongly pro-LGBT and abortion/divorce rights, and strongly pro-democracy with trust in fair elections and low religiosity align much more with Western than Eastern European value patterns.",False
807050433,East,East,"East — the combination of strong family/work duty, traditional views on homosexuality and death penalty, support for strong leaders alongside high value on democracy, and lower trust in institutions and elections aligns more with prevailing value patterns in Eastern Europe than in Western Europe.",True
40051562,West,East,"East — strongly traditional, patriarchal, authoritarian-leaning values combined with high religiosity and support for state redistribution and equality fit the typical Eastern European value cluster more than Western European patterns.",False
528051310,West,West,West — strong weekly religiosity plus relatively high generalized trust and mixed-but-not-authoritarian views on democracy and markets fit the value profile more typical of Western than Eastern Europe.,True
250051599,West,East,"East — strongly traditional/religious morals, intolerance of homosexuality and casual sex, emphasis on authority, obedience and work duty, and prioritizing equality via the state over market incentives fit the typical Eastern European value profile more than the Western one.",False
352050154,West,West,"West — highly secular, very liberal on homosexuality, abortion and divorce, pro-gender equality, satisfied with democracy and institutions, and relatively tolerant of immigrants and markets, all align much more with typical Western European value profiles than Eastern European ones.",True
380051217,West,West,"West — strong religiosity combined with high support for democracy, civil rights, gender equality and distrust of strong leaders fits the value profile more typical of Western than Eastern Europe.",True
246050107,West,West,"West — the combination of strong post‑materialist, secular and liberal views (high acceptance of homosexuality, abortion, euthanasia, gender equality, and emphasis on civil liberties and democratic procedures) is much more typical of Western than Eastern Europe.",True
616050332,East,West,"West — very secular, highly permissive on sexuality and personal autonomy, and supportive of gender equality and civil rights, which together align much more with typical Western than Eastern European value profiles.",False
31050266,East,East,"East — very traditional, materialist, authority-valuing, strongly religious attitudes with low tolerance on immigration and LGBT issues align much more with typical Eastern than Western European value profiles.",True
250051510,West,West,"West — this respondent’s highly liberal social attitudes (strong support for gender equality, LGBT parenting, casual sex, abortion), post‑materialist orientation, low religiosity, and strong pro‑democracy norms align much more with typical Western European value profiles than Eastern European ones.",True
804720852,East,East,"East — strongly traditional, authoritarian, religious, and anti-liberal attitudes (e.g., absolute rejection of homosexuality/divorce, high importance of God, obedience, skepticism toward institutions yet high demand for state redistribution and order) align much more with typical Eastern European value profiles than Western ones.",True
756051406,West,West,"West — the combination of very high interpersonal trust, strong support for gender equality and democracy, mixed but not authoritarian views on authority and work, and relatively liberal stance toward homosexuality is much more typical of Western than Eastern European value profiles.",True
528051314,West,West,"West — very liberal on sexuality and family issues, relatively secular despite Catholic background, and high interpersonal/generalized trust strongly align with typical Western European value patterns.",True
620051196,West,West,"West — economically right-leaning, materialist, work-focused, relatively secular but tolerant on many lifestyle issues, with high satisfaction and trust in democratic institutions, fits the value pattern more typical of Western than Eastern Europe.",True
268050619,East,East,"East — strongly traditional, religious, authority-oriented views combined with distrust of out-groups and restrictive attitudes on sexuality and gender roles align more closely with typical Eastern European value profiles.",True
642050276,East,East,"East — this profile combines strong traditional family and work ethic, social conservatism on sexuality, high religiosity with Orthodox affiliation, and relatively low post‑materialism, a value pattern much more typical of Eastern than Western Europe.",True
578050424,West,West,"West — the combination of very high generalized and institutional trust, strong satisfaction with democracy and elections, pro‑equality democratic ideals, and liberal stances on divorce and homosexuality (despite some social conservatism and low religiosity) fits contemporary Western European value patterns much more than typical Eastern European ones.",True
826070607,West,West,"West — the combination of very high acceptance of homosexuality and euthanasia, strong emphasis on civil rights and gender equality, and active NGO/civic involvement is much more typical of Western than Eastern European value profiles.",True
616050330,East,West,West — highly liberal views on abortion/divorce/euthanasia and very strong support for democratic rights and welfare-state democracy place him closer to Western European value patterns despite his age and conservatism on gender/immigration.,False
70050453,East,East,"East — socially conservative on gender and sexuality, economically statist and equality-focused, Orthodox and ethnocentric on immigration and neighbours, which together align more with contemporary Eastern than Western European value patterns.",True
752051028,West,West,"West — the combination of strong secularism and atheism, very high acceptance of homosexuality, abortion, divorce and casual sex, plus generally liberal democratic norms is much more typical of Western than Eastern European value profiles.",True
