uniqid,model,actual,predicted,correct,domain,confidence,reasoning
705050330,glm-5,East,East,True,political legitimacy; religion,high,"Low democracy satisfaction, strong religious belief, low institutional trust, traditional gender views."
70050179,glm-5,East,East,True,religion; political legitimacy,medium,"Religious believer, low institutional confidence, prefers strong leader, low political participation."
250050242,glm-5,West,West,True,trust; family,high,"High tolerance for homosexuality, abortion, divorce. Low religious attendance. High trust in family."
826071151,glm-5,West,West,True,family; religion,high,"High tolerance for homosexuality, abortion, divorce; low religiosity, never attends services."
528720115,glm-5,West,West,True,religion; authority and autonomy,high,"Atheist, rejects obedience, values freedom of speech, high tolerance for homosexuality."
724050841,glm-5,West,West,True,religion; family,high,"Non-religious, accepts homosexuality, supports euthanasia, low political trust, pro-immigration."
756052971,glm-5,West,West,True,religion; family,high,"High homosexuality justifiability, supports gay parents, secular, low obedience value."
703050413,glm-5,East,West,False,family; religion,high,"Atheist identity, accepts homosexuality and divorce, low obedience value, high general trust."
703050515,glm-5,East,West,False,religion; family,high,"High abortion/divorce acceptability, low church attendance, rejects traditional gender roles."
705050108,glm-5,East,West,False,religion; family,high,"Atheist identity, high abortion and divorce acceptability, low religious attendance."
703050904,glm-5,East,East,True,religion; family,high,"High religiosity, traditional values, low tolerance for deviance, low institutional trust."
528721012,glm-5,West,West,True,religion; family,high,"Atheist identity, never attends religious services, high acceptance of homosexuality and abortion."
300721082,glm-5,West,West,True,religion; family,high,"God importance 10, believes in God, low obedience, high tolerance for divorce."
826071706,glm-5,West,West,True,religion; family,high,"Atheist, low God importance, high tolerance for homosexuality, abortion, divorce, euthanasia."
300720907,glm-5,West,East,False,religion; family,high,"God importance 10, traditional gender roles, low trust in strangers, low democracy rating."
826051703,glm-5,West,East,False,religion; family,high,"God importance 10, believes in hell, rejects homosexuality, low trust in strangers."
276720796,glm-5,West,East,False,religion; family,high,"God importance 10, religious identity, low tolerance, traditional moral absolutism."
703720812,glm-5,East,West,False,religion; family,high,"Low God importance, religious identity, high tolerance, low political participation."
578050447,glm-5,West,West,True,family; religion,high,"High tolerance for homosexuality and abortion, never attends religious services, egalitarian gender views."
826070802,glm-5,West,East,False,religion; family,high,"High God importance, religious, intolerant of homosexuals and immigrants, traditional gender values."
100051007,glm-5,East,West,False,trust; authority and autonomy,high,"High general trust, accepts homosexuality, prefers strong leader, non-religious, never protests."
705050157,glm-5,East,West,False,religion; family,high,"Atheist, low God importance, accepts homosexuality and abortion, high democracy importance."
807050433,glm-5,East,West,False,trust; family,high,"High general trust, rejects obedience, accepts homosexuality, low institutional confidence."
40051562,glm-5,West,East,False,religion; family,high,"God importance 10, religious faith valued, traditional gender views, low general trust."
528051310,glm-5,West,East,False,religion; family,high,"God importance 10, religious faith valued, obedience valued, low tolerance."
250051599,glm-5,West,East,False,religion; family,high,"God importance 10, religious identity, low tolerance, traditional moral values."
352050154,glm-5,West,West,True,family; religion,high,"High tolerance for homosexuality, abortion, divorce; atheist; low religious importance; gender egalitarian."
380051217,glm-5,West,East,False,religion; family,high,"Weekly church attendance, God importance 10, rejects homosexuality, supports strong leader."
246050107,glm-5,West,West,True,trust; religion,high,"High general trust, atheist, supports homosexuality and abortion, low religious attendance."
616050332,glm-5,East,West,False,religion; family,high,"Atheist, low God importance, high abortion and homosexuality acceptance, low religious attendance."
31050266,glm-5,East,West,False,religion; family,high,"Never attends church, strong religious identity, God importance 10, traditional moral absolutism."
250051510,glm-5,West,West,True,religion; family,high,"Secular identity, never attends church, rejects traditional gender roles, high democracy importance."
804720852,glm-5,East,East,True,religion; political legitimacy,high,"Strong religious belief, low institutional confidence, rejects justifiable behaviors, prefers strong leader."
756051406,glm-5,West,West,True,religion; family,high,"High God importance, accepts homosexuality, high democracy satisfaction, high general trust."
528051314,glm-5,West,West,True,family; religion,high,"High tolerance for homosexuality, abortion, divorce. Secular identity, low church attendance."
620051196,glm-5,West,West,True,family; religion,high,"Supports gender equality, secular, accepts homosexuality, high divorce justifiability."
268050619,glm-5,East,East,True,religion; family,high,"God importance 10, all behaviors never justifiable, rejects homosexuals as neighbors."
642050276,glm-5,East,West,False,religion; family,high,"Religious identity, weekly attendance, low tolerance for homosexuality, accepts immigrants positively."
578050424,glm-5,West,West,True,family; trust,high,"High general trust, accepts homosexuality and abortion, rejects obedience, egalitarian gender views."
826070607,glm-5,West,West,True,religion; family,high,"High homosexuality justifiability, secular but religious identity, low obedience value, high trust."
616050330,glm-5,East,West,False,family; religion,high,"Supports abortion, divorce, euthanasia, casual sex; low religious attendance, not religious identity."
70050453,glm-5,East,East,True,religion; family,high,"Religious identity, low tolerance, traditional values, low trust, born 1961."
752051028,glm-5,West,West,True,religion; family,high,"Atheist identity, high abortion and homosexuality acceptance, low religious attendance."
826050282,glm-5,West,West,True,family; religion,high,"High tolerance for homosexual parents, atheist identity, low religious attendance, egalitarian gender views."
643721769,glm-5,East,East,True,religion; family,high,"Religious believer, rejects homosexuality, low trust in strangers, traditional gender views."
804050587,glm-5,East,West,False,religion; family,high,"Religious but rejects hell, accepts abortion, high gender equality, high social trust."
31051429,glm-5,East,West,False,religion; trust,high,"High God importance, high general trust, low tolerance for homosexuality and abortion."
70050057,glm-5,East,West,False,family; religion,high,"Rejects traditional gender roles, supports abortion and euthanasia, low religious attendance."
100050124,glm-5,East,West,False,political legitimacy; religion,high,"Atheist, low political participation, high democracy importance, low political system satisfaction."
100050281,glm-5,East,East,True,religion; family,high,"God importance 10, religious faith valued, men better leaders, low democracy ratings."
616051287,glm-5,East,West,False,religion; family,high,"Religious, rejects obedience, accepts homosexuality, egalitarian gender views, low trust."
51720117,glm-5,East,East,True,religion; political legitimacy,high,"Strong religious belief, supports strong leader, rejects political actions, traditional moral views."
804720389,glm-5,East,West,False,religion; political legitimacy,high,"Religious, rejects political violence, opposes homosexuality, low political participation, low institutional confidence."
756052929,glm-5,West,West,True,religion; family,high,"Atheist identity, low God importance, high tolerance for homosexuality, abortion, divorce."
826070686,glm-5,West,West,True,trust; religion,high,"High trust in family, never attends church, high tolerance for homosexuality, abortion, divorce."
112051389,glm-5,East,West,False,family; religion,high,"High divorce acceptability, secular identity, low religious attendance, egalitarian gender views."
40050720,glm-5,West,West,True,religion; family,high,"Low church attendance, supports abortion, divorce, euthanasia, values independence, rejects obedience."
703050773,glm-5,East,East,True,political legitimacy; family,high,"Strong leader preferred, low institutional trust, traditional gender roles, never attends religious services."
276051759,glm-5,West,West,True,family; religion,high,"High divorce acceptance, low religious belief, rejects traditional gender roles, high democracy importance."
428050012,glm-5,East,West,False,religion; family,high,"Atheist identity, low God importance, supports euthanasia, homosexual parents accepted."
643050384,glm-5,East,West,False,trust; family,high,"High trust in strangers, rejects obedience, accepts divorce and abortion, secular."
203720682,glm-5,East,West,False,religion; family,high,"Atheist, low God importance, accepts homosexuality, abortion, divorce, euthanasia, casual sex."
276050847,glm-5,West,West,True,family; religion,high,"Atheist, high tolerance for homosexuality, abortion, divorce, euthanasia, low obedience value."
112050769,glm-5,East,West,False,family; religion,high,"Rejects traditional gender roles, secular identity, high tolerance for homosexuality, abortion, divorce."
804051339,glm-5,East,West,False,religion; family,high,"Religious identity, believes in God, low tolerance for homosexuals, rejects obedience."
51720087,glm-5,East,East,True,religion; political legitimacy,high,"God importance 10, supports strong leader, rejects homosexuality, low tolerance."
208050231,glm-5,West,West,True,religion; family,high,"Atheist, never attends church, high tolerance for homosexuality, abortion, divorce, euthanasia."
51051005,glm-5,East,East,True,religion; political legitimacy,high,"Strong religious belief, low institutional confidence, traditional gender views, low social trust."
208052760,glm-5,West,West,True,family; religion,high,"High divorce and abortion acceptance, low religious attendance, high gender equality support."
643720772,glm-5,East,West,False,trust; family,medium,"High general trust, tolerant attitudes, low obedience, never attends religious services."
8050734,glm-5,East,West,False,trust; religion,high,"High social trust, atheist, low obedience, high tolerance, gender egalitarian."
