uniqid,actual,predicted,correct,domain,confidence,reasoning
705050330,East,East,True,religion;authority and autonomy,medium,"low religious practice, strong state role, low immigration support, low trust"
70050179,East,East,True,religion;authority and autonomy,medium,"religious believer, low church attendance, low institutional confidence, low political participation"
250050242,West,East,False,religion;authority and autonomy,medium,"low religious practice, low tolerance minorities, strong equality, moderate institutional trust"
826071151,West,West,True,religion;authority and autonomy,medium,"secular identity, rare attendance, high homosexuality approval, democratic norms valued"
528720115,West,West,True,religion;authority and autonomy,medium,"atheist identity, secular beliefs, supports homosexuality, supports abortion, supports euthanasia, supports casual sex, high democracy importance, strong civil rights emphasis"
724050841,West,West,True,religion;authority and autonomy,medium,"secular, low church confidence, supports democracy, tolerant, egalitarian gender views"
756052971,West,West,True,religion;authority and autonomy,medium,"secular beliefs, tolerant on homosexuality, supports democracy, moderate institutional trust"
703050413,East,West,False,authority and autonomy;political legitimacy,medium,"supports free speech, supports democracy, tolerant of homosexuality, moderate religiosity"
703050515,East,West,False,religion;authority and autonomy,medium,"religious, tolerant of homosexuality, supports equality, trusts institutions, democratic values"
705050108,East,West,False,religion;authority and autonomy,medium,"atheist identity, low church confidence, supports abortion, supports divorce, supports euthanasia, supports homosexuality, values free elections, rejects religious law, low importance of God"
703050904,East,East,True,religion;family,high,"frequent religious practice, God important, traditional morals, low homosexuality acceptance"
528721012,West,West,True,religion;authority and autonomy,medium,"nonreligious, tolerant of homosexuality, supports abortion, supports euthanasia, moderate trust, moderate democracy importance"
300721082,West,East,False,religion;authority and autonomy,medium,"religious identity not religious, God central, low homosexuality tolerance, strong democracy support, moderate protest readiness"
826071706,West,West,True,religion;authority and autonomy,medium,"atheist, secular, tolerant of homosexuality, supports abortion, supports euthanasia, supports divorce, supports casual sex, low church confidence, low God importance"
300720907,West,East,False,religion;family,medium,"weekly attendance, God central, traditional gender views, low immigration support"
826051703,West,East,False,religion;family,medium,"religious, traditional family focus, low tolerance homosexuality, moderate democracy support"
276720796,West,East,False,religion;authority and autonomy,high,"weekly attendance, God central, strict morality, low homosexuality tolerance, low immigration support"
703720812,East,East,True,religion;authority and autonomy,medium,"infrequent attendance yet strong beliefs, low protest, order priority, traditional child qualities"
578050447,West,West,True,religion;authority and autonomy,medium,"secular, supports homosexuality, supports abortion, supports divorce, trusts institutions, democratic, tolerant of immigrants"
826070802,West,East,False,religion;authority and autonomy,medium,"religious, traditional gender views, low tolerance minorities, democracy less important"
100051007,East,East,True,family;authority and autonomy,medium,"strong duty to have children, traditional child qualities, low protest participation, moderate democracy importance, low immigration support"
705050157,East,West,False,religion;authority and autonomy,medium,"atheist identity, no belief in God, supports homosexuality, supports abortion, supports divorce, supports euthanasia, low church confidence, democracy essential"
807050433,East,West,False,religion;authority and autonomy,medium,"secular identity, moderate God importance, supports homosexuality, supports abortion, supports euthanasia, supports gender equality, pro-immigration, democratic values, low institutional confidence"
40051562,West,East,False,religion;authority and autonomy,medium,"weekly attendance, God central, traditional gender roles, low protest participation"
528051310,West,East,False,religion;family,medium,"weekly church, God central, traditional family, low minority tolerance, anti-immigration"
250051599,West,East,False,religion;family,high,"strong religious belief, traditional child qualities, low tolerance minorities, order priority, low political trust"
352050154,West,West,True,religion;authority and autonomy,medium,"atheist identity, low religious practice, high gender equality, supports homosexuality"
380051217,West,East,False,religion;authority and autonomy,high,"weekly attendance, strong belief in God, low homosexuality tolerance, order priority, strong child duty, low protest acceptance"
246050107,West,West,True,religion;authority and autonomy,medium,"secular identity, low church confidence, high expressive freedoms, tolerant sexuality"
616050332,East,West,False,religion;authority and autonomy,medium,"atheist identity, low church confidence, high homosexuality acceptance, democratic values"
31050266,East,East,True,religion;family,high,"weekly religious identity, God central, strict morals, traditional parenting, order-focused"
250051510,West,West,True,religion;authority and autonomy,medium,"secular, low church attendance, supports democracy, tolerant of homosexuality, supports autonomy"
804720852,East,East,True,religion;authority and autonomy,high,"religious, traditional morality, low protest potential, strong democracy support, distrust institutions"
756051406,West,West,True,religion;authority and autonomy,medium,"religious, tolerant of homosexuality, supports democracy, supports strong leader, high trust"
528051314,West,West,True,religion;authority and autonomy,medium,"secular identity, tolerant of homosexuality, supports abortion, supports euthanasia, moderate institutional trust, moderate democracy satisfaction"
620051196,West,East,False,family;authority and autonomy,medium,"traditional gender roles, low immigration support, strong family duty, moderate religiosity"
268050619,East,East,True,religion;authority and autonomy,high,"religious, traditional morals, low tolerance, order priority, skeptical of democracy"
642050276,East,East,True,religion;family,medium,"weekly attendance, low God importance, traditional family views, low tolerance"
578050424,West,West,True,religion;authority and autonomy,medium,"secular, tolerant of homosexuality, supports democracy, rejects religious law, high political satisfaction"
826070607,West,West,True,religion;authority and autonomy,medium,"tolerant to homosexuality, secular attendance, high God importance, supports equality, distrusts elections"
616050330,East,West,False,religion;authority and autonomy,medium,"secular identity, low church confidence, supports abortion, supports euthanasia, supports divorce, supports democracy, rejects religious law, low neighbour tolerance"
70050453,East,East,True,religion;authority and autonomy,high,"religious identity, low church attendance, traditional morality, low homosexuality tolerance, strong order preference, strong authority acceptance, moderate democracy support"
752051028,West,West,True,religion;authority and autonomy,medium,"atheist identity, no belief in God, liberal on homosexuality, supports abortion, supports euthanasia, supports divorce, democracy important, free elections essential, immigration seen negatively"
826050282,West,East,False,religion;authority and autonomy,medium,"low religious practice, low tolerance homosexuality, strong order preference, low immigration support"
643721769,East,East,True,religion;authority and autonomy,medium,"religious believer, moderate church attendance, low political action, traditional child qualities"
804050587,East,West,False,religion;authority and autonomy,medium,"moderate religiosity, liberal on abortion, supports gender equality, low political activism"
31051429,East,East,True,religion;authority and autonomy,medium,"religious, traditional gender roles, low homosexuality acceptance, order over participation"
70050057,East,East,True,religion;authority and autonomy,high,"religious identity, low attendance, strong economic equality, low institutional trust, strong democracy support"
100050124,East,East,True,religion;authority and autonomy,medium,"atheist, low church attendance, strong democracy support, low political satisfaction"
100050281,East,East,True,religion;authority and autonomy,medium,"weekly religious practice, God central, traditional gender roles, moderate democracy support"
616051287,East,East,True,religion;authority and autonomy,high,"religious, traditional child qualities, low tolerance homosexuality, strong authority support"
51720117,East,East,True,religion;authority and autonomy,high,"weekly church, strong God importance, abortion never, homosexuality never, strong leader"
804720389,East,East,True,religion;authority and autonomy,high,"weekly church, strong God belief, traditional morals, low protest, order-focused politics"
756052929,West,West,True,family;authority and autonomy,low,"high tolerance homosexuality, low religiosity, egalitarian gender views, democratic support"
826070686,West,West,True,religion;authority and autonomy,medium,"atheist identity, low practice, high homosexuality acceptance, supports free elections"
112051389,East,East,True,religion;authority and autonomy,medium,"secular identity, belief in God, traditional family duties, strong democracy emphasis"
40050720,West,West,True,religion;authority and autonomy,medium,"religious, moderate God importance, tolerant of homosexuality, supports democratic elections, supports civil rights, supports gender equality, moderate trust, accepts political participation"
703050773,East,East,True,religion;authority and autonomy,medium,"atheist identity, low church confidence, strong leader support, low immigration support"
276051759,West,West,True,religion;authority and autonomy,medium,"religious identity without practice, supports divorce euthanasia, egalitarian gender views, distrusts immigration"
428050012,East,East,True,religion;authority and autonomy,medium,"atheist identity, low religious practice, low political participation, order-focused, restrictive immigration, selective tolerance, supports euthanasia"
643050384,East,East,True,religion;authority and autonomy,medium,"secular, low church attendance, traditional family duty, order priority, low tolerance"
203720682,East,West,False,religion;authority and autonomy,medium,"secular identity, low God importance, supports homosexuality, supports abortion, supports euthanasia, supports casual sex, moderate democracy importance, moderate institutional confidence"
276050847,West,West,True,authority and autonomy;family,medium,"supports same-sex parenting, secular, high autonomy values, high expressive freedoms"
112050769,East,East,True,religion;authority and autonomy,medium,"atheist identity, low God importance, traditional gender views, moderate democracy importance, moderate political trust"
804051339,East,East,True,religion;authority and autonomy,high,"religious believer, low tolerance homosexuality, low political action, traditional child qualities"
51720087,East,East,True,religion;authority and autonomy,high,"religious, traditional morality, distrusts homosexuality, supports strong leader, low protest participation"
208050231,West,West,True,religion;authority and autonomy,medium,"atheist, low religious practice, high democracy importance, high autonomy values"
51051005,East,East,True,religion;authority and autonomy,high,"religious believer, low church attendance, traditional gender roles, low institutional trust, strong order focus, restrictive on homosexuality, strong family duty, low immigration enthusiasm"
208052760,West,West,True,family;authority and autonomy,medium,"high family importance, democratic rights essential, moderate religiosity, moderate homosexuality acceptance"
643720772,East,East,True,authority and autonomy;political legitimacy,medium,"strong order priority, low political participation, low institutional confidence, egalitarian democracy views"
8050734,East,East,True,religion;authority and autonomy,medium,"secular attendance, low God importance, strong obedience norms, low protest participation"
703720348,East,East,True,family;authority and autonomy,medium,"strong family focus, traditional child qualities, low political engagement, low tolerance"
804050716,East,East,True,religion;authority and autonomy,high,"religious, low tolerance minorities, traditional child qualities, skeptical institutions, limited protest"
8050595,East,West,False,religion;authority and autonomy,medium,"secular beliefs, low God importance, supports gender equality, distrusts institutions"
348051145,East,East,True,religion;family,high,"weekly attendance, strong belief in God, traditional morality, low immigration support"
380051759,West,East,False,religion;authority and autonomy,high,"religious, traditional morality, low minority tolerance, order, distrust elections, democracy valued"
724051041,West,West,True,religion;authority and autonomy,medium,"religious attendance moderate, God unimportant, supports homosexuality, supports abortion, supports euthanasia, distrusts immigrants, supports democracy, rejects strong leader, accepts political protests"
203720465,East,West,False,religion;authority and autonomy,medium,"nonreligious identity, low church confidence, tolerant homosexuality, supports autonomy, moderate democracy importance"
643720680,East,West,False,religion;authority and autonomy,medium,"secular, low religious practice, tolerant on homosexuality, supports democratic procedures"
276720518,West,West,True,religion;authority and autonomy,medium,"weekly church, God central, tolerant homosexuality, supports free elections, democracy essential"
703050528,East,East,True,religion;authority and autonomy,medium,"religious identity, low church attendance, intolerant neighbours, strong leader support, low democracy characteristics"
620050946,West,West,True,religion;authority and autonomy,medium,"atheist identity, low practice, liberal on homosexuality, supports democracy, trusts institutions, supports free elections, opposes religious law, moderate equality preferences"
528721763,West,East,False,religion;authority and autonomy,medium,"secular attendance, believes in God, low homosexuality tolerance, order priority, moderate democracy importance"
528720687,West,West,True,religion;authority and autonomy,medium,"low religious practice, liberal sexuality, strong civil rights, low obedience"
528050231,West,West,True,religion;authority and autonomy,medium,"secular identity, low religious practice, high sexual liberalism, democratic values"
