uniqid,source_file,actual,predicted,correct,domain,confidence,reasoning
with_religion:8050753,batch_output_chunk_1.jsonl,West,West,True,religion;authority and autonomy,medium,"Weekly religious, low belief in hell, supports euthanasia, egalitarian gender views, pro-immigration, democratic orientation"
with_religion:8050858,batch_output_chunk_1.jsonl,West,West,True,religion;authority and autonomy,medium,"secular identity, low God importance, tolerant of homosexuality, supports gender equality, values free elections"
with_religion:8050630,batch_output_chunk_1.jsonl,West,East,False,political legitimacy;religion,medium,"low institutional trust, low political satisfaction, strong democracy support, religious, conservative on sexuality, low protest engagement"
with_religion:8051412,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,high,"Highly religious, opposes homosexuality, supports strong welfare state, distrusts elections, traditional gender views"
with_religion:8050975,batch_output_chunk_1.jsonl,West,West,True,religion;authority and autonomy,medium,"religious, rejects religious law, rejects homosexuality, supports democracy, supports equality, rejects political action"
with_religion:8050800,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,medium,"Weekly attendance, God central, homosexuality never justifiable, strong leader support, low institutional trust"
with_religion:8051030,batch_output_chunk_1.jsonl,West,West,True,religion;authority and autonomy,medium,"Nonreligious identity, God central, rejects homosexuality, supports democracy, high immigration support, distrust institutions"
with_religion:8051372,batch_output_chunk_1.jsonl,West,West,True,religion;authority and autonomy,medium,"Religious, traditional morality, strong democratic principles, low tolerance minorities, moderate immigration support, older male"
with_religion:8050260,batch_output_chunk_1.jsonl,West,West,True,religion;authority and autonomy,medium,"Nonreligious, accepts homosexuality, supports abortion and euthanasia, values free elections, distrusts churches and press"
with_religion:8050317,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,medium,"Religious, traditional on sexuality, strong order focus, low political satisfaction, moderate immigration openness"
with_religion:8050705,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,medium,"Religious, traditional on sexuality, low protest participation, high democracy support, distrust elections, female respondent"
with_religion:8050906,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,medium,"Non-practicing but religious, strong obedience to parents, low institutional trust, order over participation"
with_religion:8050275,batch_output_chunk_1.jsonl,West,West,True,religion;authority and autonomy,medium,"Atheist identity, low religious practice, tolerant of homosexuality, supports abortion, opposes child obedience"
with_religion:8050362,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,medium,"Religious, distrusts institutions, rejects political action, traditional on family, skeptical on homosexuality, pro-democracy"
with_religion:8051388,batch_output_chunk_1.jsonl,West,West,True,religion;authority and autonomy,medium,"religious, regular attendance, God central, tolerant of homosexuality, supports democracy, opposes strong leader"
with_religion:8050553,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,medium,"Low religious practice, strong traditional family duty, low tolerance, order over participation, low protest propensity"
with_religion:8050304,batch_output_chunk_1.jsonl,West,West,True,religion;authority and autonomy,medium,"Weekly religious, God central, homosexuality never justifiable, supports democracy, opposes strong leader, moderate gender traditionalism"
with_religion:8050045,batch_output_chunk_1.jsonl,West,West,True,religion;authority and autonomy,medium,"Atheist identity, God central in life, liberal on sexuality, supports democracy, distrusts institutions"
with_religion:8050991,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,high,"Strong theistic belief, strict moral codes, traditional obedience, order priority, low protest participation"
with_religion:8050592,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,medium,"Atheist identity, God essential, traditional on sexuality, strong child duty, order over participation"
with_religion:8050278,batch_output_chunk_1.jsonl,West,West,True,religion;authority and autonomy,medium,"Non-practicing but self-identified religious, low God importance, liberal on gender, strong democratic norms"
with_religion:8050164,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,high,"Strong religious importance, low tolerance minorities, strong obedience norms, high institutional trust, redistribution unimportant"
with_religion:8051407,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,medium,"Religious, traditional family focus, order over participation, low institutional trust, skeptical of homosexuality"
with_religion:8050561,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,high,"Religious, traditional on sexuality, low institutional trust, strong democracy support, low protest participation"
with_religion:8051157,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,medium,"Atheist identity, low religious practice, strong order preference, low homosexuality acceptance, strong family duty"
with_religion:8050079,batch_output_chunk_1.jsonl,West,West,True,religion;authority and autonomy,medium,"Religious, traditional on sexuality, supports democracy, trusts family, moderate political satisfaction, limited protest participation"
with_religion:8051317,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,high,"Religious, traditional on homosexuality, strong order and army support, low protest, moderate institutional trust"
with_religion:8050625,batch_output_chunk_1.jsonl,West,West,True,religion;authority and autonomy,medium,"Weekly worship absent, God central, abortion allowed, homosexuality rejected, democracy essential, distrust institutions"
with_religion:8050071,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,medium,"Religious identity without practice, strict moral views, strong obedience norms, low institutional trust, unemployment"
with_religion:8050345,batch_output_chunk_1.jsonl,West,West,True,religion;authority and autonomy,medium,"Religious, moderate abortion and divorce acceptance, supports free elections and civil rights, positive immigration attitude"
with_religion:8051219,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,high,"strong theistic belief, strict moral absolutism, low institutional confidence, low political participation, traditionalism"
with_religion:8050866,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,medium,"Non-practicing but religious, traditional on children and authority, skeptical of elections, moderate on homosexuality"
with_religion:8050813,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,medium,"Strong belief in God, low attendance, conservative on homosexuality, strong obedience, high democracy support"
with_religion:8050820,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,high,"Religious, traditional child qualities, low tolerance minorities, strong order focus, distrust elections, hierarchical gender views"
with_religion:8051023,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,high,"Religious, traditional on homosexuality, strong obedience, low protest, high redistribution support, skeptical institutions"
with_religion:8051178,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,medium,"Non-practicing but believing, traditional on homosexuality and abortion, order over participation, low protest engagement"
with_religion:8050758,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,high,"Religious, traditional on homosexuality and abortion, strong child duty, low protest, democracy highly valued"
with_religion:8050814,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,high,"High God importance, low religious practice, traditional morals, strong order preference, low protest readiness"
with_religion:8050068,batch_output_chunk_1.jsonl,West,West,True,religion;authority and autonomy,medium,"Religious, God central, supports democracy, low institutional confidence, tolerant of homosexuality, moderate gender traditionalism"
with_religion:8050951,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,medium,"Infrequent attendance yet God central, low protest potential, low homosexuality tolerance, strong family duty"
with_religion:8050669,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,high,"Strong belief in God, low religious practice, low tolerance homosexuality, strong order, low protest propensity"
with_religion:8050874,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,medium,"Religious, traditional on sexuality, high institutional confidence, low protest readiness, supports redistribution, pro-immigration"
with_religion:8050913,batch_output_chunk_1.jsonl,West,West,True,religion;authority and autonomy,medium,"Weekly religious practice, God central, strong civil rights support, strong democracy support, tolerant to immigrants"
with_religion:8051251,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,medium,"Religious, traditional morality, strong child duty, low institutional trust, supports strong leader, pro-immigration"
with_religion:8050963,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,medium,"Nonreligious identity, God central, traditional family roles, low protest readiness, strong leader acceptable"
with_religion:8050124,batch_output_chunk_1.jsonl,West,West,True,political legitimacy;authority and autonomy,medium,"secular, low institutional confidence, supports democracy and civil rights, low political participation, negative immigration views"
with_religion:8051031,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,high,"Religious, traditional morality, low tolerance minorities, strong order preference, distrust institutions, democracy idealized"
with_religion:8051417,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,medium,"Strong belief in God, low religious practice, low political participation, strong leader preference, traditional morality"
with_religion:8050980,batch_output_chunk_1.jsonl,West,West,True,family;authority and autonomy,medium,"High divorce acceptance, strong democracy support, low religion, egalitarian gender views, moderate immigration support"
with_religion:8050359,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,high,"Atheist identity, never attends services, strict moral codes, rejects homosexuality, supports strong state authority"
with_religion:8050343,batch_output_chunk_1.jsonl,West,East,False,religion;family,high,"Weekly attendance, strong belief in God, strict sexual norms, traditional family duty, low institutional confidence"
with_religion:8051325,batch_output_chunk_1.jsonl,West,East,False,religion;family,medium,"God central, low religious practice, traditional family values, order priority, limited protest, moderate democracy satisfaction"
with_religion:8050052,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,high,"Strong theistic belief, low religious practice, traditional morals, order over participation, skeptical of elections"
with_religion:8050030,batch_output_chunk_1.jsonl,West,West,True,religion;authority and autonomy,medium,"Religious, strong God importance, strict sexual ethics, supports democracy, opposes strong leader, moderate gender traditionalism"
with_religion:8051103,batch_output_chunk_1.jsonl,West,West,True,authority and autonomy;political legitimacy,medium,"supports free elections, civil rights, gender equality, democracy, low institutional trust, tolerant to immigration"
with_religion:8050639,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,high,"Religious, traditional on family duty, low minority tolerance, order-focused, skeptical of institutions, supports democracy"
with_religion:8050482,batch_output_chunk_1.jsonl,West,East,False,religion;family,high,"Weekly religious identity, God central, traditional child qualities, conservative on homosexuality, supports strong leader"
with_religion:8050462,batch_output_chunk_1.jsonl,West,East,False,religion;authority and autonomy,high,"highly religious, rejects homosexuality, low tolerance neighbours, supports strong leader, distrusts immigrants, traditional gender views"
with_religion:8050077,batch_output_chunk_1.jsonl,West,West,True,religion;authority and autonomy,medium,"Religious, traditional morality, supports democracy, rejects army rule, tolerant of immigrants, gender-egalitarian views"
