uniqid,actual,predicted,correct,domain,confidence,reasoning
191050426,East,East,True,family; political legitimacy,medium,"Importance on family, low tolerance, significant belief in authority and autonomy."
380052257,West,West,True,family; political legitimacy,medium,"Importance of family, acceptance of homosexuals, perceptions on democracy."
276050476,West,East,False,religion; family; political legitimacy,high,"Importance of family, low acceptance of diverse sexualities, strong religious identity, low political trust."
246050893,West,East,False,family; political legitimacy,high,"High family importance, low tolerance, low trust in institutions, dissatisfaction with political system."
8050281,East,East,True,family; political legitimacy,high,"Family important, low trust, skepticism towards political institutions, low acceptance of diversity."
276051241,West,East,False,religion; political legitimacy,medium,"Low religious attendance, low trust in institutions, weaker support for democracy and political participation."
826051703,West,East,False,family; political legitimacy,medium,"Family is very important, low trust in institutions, negative view on immigration."
191050624,East,West,False,religion; family; political legitimacy,high,"Family and religion important, democracy valued, low tolerance towards diversity, high satisfaction with political system."
703050413,East,West,False,family; political legitimacy; trust,high,"Family is very important, trust in people is high, belief in democratic values strong."
276051422,West,East,False,family; political legitimacy,high,"Family is highly important, low confidence in government, high importance of democracy, low trust in institutions."
804720083,East,East,True,family; political legitimacy,high,"Importance of family, low tolerance, limited political action, trust levels."
756051172,West,East,False,family; political legitimacy,medium,"Moderate importance to family, low tolerance for diversity, lower trust in institutions."
380050515,West,West,True,family; political legitimacy,medium,"Important family values, tolerance for diverse neighbors, moderate political views, high trust in people."
352051532,West,East,False,family; political legitimacy,high,"Importance of family values, political skepticism, low trust in institutions, conservative views on gender roles."
528051310,West,East,False,family; political legitimacy,high,"High importance on family, lower acceptance of diversity, significant reliance on religion."
756050598,West,West,True,family; political legitimacy,high,"Importance on family, moderate political satisfaction, lower trust in institutions, moderate views on immigration."
804050617,East,East,True,family; trust,high,"High family importance, low tolerance towards differences, low trust in institutions."
643720171,East,East,True,family; political legitimacy,medium,"Family important, moderate acceptance of different groups, low trust in political system."
112051168,East,East,True,family | political legitimacy | trust,high,"Religion low importance, low tolerance, low political action, strong family values, limited trust in institutions."
578050197,West,East,False,family | political legitimacy | trust,high,"Strong family ties, low tolerance for diversity, high political dissatisfaction, and moderate trust in institutions."
642050276,East,East,True,family; political legitimacy,high,"Low acceptance of different races, low importance of religion, low trust in political institutions."
31051602,East,West,False,family; political legitimacy,high,"High importance on family, democratic values, low tolerance, low trust in political institutions."
40051503,West,East,False,family; political legitimacy,high,"Family is important, reluctance towards tolerance, high institutional distrust, lower importance of political system."
51721219,East,East,True,family; political legitimacy,medium,"Family is important, low support for homosexual couples, trust in institutions varies, favor maintaining order."
643051604,East,East,True,family; political legitimacy,high,"High importance of family, low trust in institutions, disagreement on gender roles, moderate attitudes toward immigration."
348051145,East,East,True,religion | family | political legitimacy | trust,high,"High importance on family, low tolerance for different races, significant trust in religion and family."
528720411,West,East,False,family; political legitimacy,high,"Family is very important, low trust in institutions, strong tolerance for diversity, supportive of political action."
703720246,East,East,True,family; political legitimacy,high,"Family important, low child qualities, tolerance for immigrants, low institutional confidence, negative on gender equality."
276720240,West,West,True,family; political legitimacy,high,"Importance placed on family, tolerance for friends, high political system satisfaction, low institutional distrust."
380050623,West,East,False,family; political legitimacy,high,"Importance of family, low tolerance, low support for homosexuals, high immigration acceptance."
246050435,West,East,False,family; political legitimacy,high,"Low importance on family duties, low tolerance for diversity, limited trust in institutions."
756050817,West,East,False,religion; political legitimacy,medium,"Low importance of religion, low tolerance for diversity, dissatisfaction with political system."
208051491,West,East,False,family; political legitimacy,high,"Family is very important, low tolerance towards differences, distrust in institutions, support for authority."
208051376,West,East,False,family; political legitimacy,high,"Strong emphasis on family, negative views on tolerance, low political trust, low importance of religion."
804720237,East,East,True,family | political legitimacy,medium,"High importance to family, low tolerance for diversity, less political participation."
756050297,West,West,True,religion; political legitimacy,high,"Importance of religion, high belief in democracy, acceptance of religious diversity, positive view on immigration."
807050433,East,East,True,family; political legitimacy,high,"Family is important, low acceptance of homosexuals, high political legitimacy aims."
203051092,East,East,True,family; political legitimacy,high,"High family importance, low tolerance; low political system satisfaction; moderate trust in institutions."
804050981,East,West,False,family; political legitimacy,high,"Importance on family, high democracy perception, trust in institutions, moderate immigration views."
643051355,East,East,True,family; political legitimacy,high,"High importance on family, low acceptance of diversity, skepticism towards political institutions, strong religious belief."
31050595,East,West,False,family; political legitimacy; trust,medium,"High importance on family, lower trust in institutions, moderate tolerance for diversity."
724050841,West,East,False,family; political legitimacy,high,"Family important, low trust in institutions, acceptance of homosexuals, skepticism on political effectiveness."
528720525,West,East,False,religion | family | political legitimacy | trust,high,"Importance of religion, low tolerance for diversity, limited trust, mixed views on family roles."
643721769,East,East,True,family | political legitimacy | trust,high,"Low importance on religion, low trust in institutions, low acceptance of diverse social groups."
352050767,West,East,False,trust; family; political legitimacy,high,"Low acceptance of diversity, low confidence in institutions, high importance placed on family and religion."
246050696,West,East,False,family; political legitimacy,high,"High importance on family, low tolerance, limited institutional confidence, low value on democracy and political action."
348050391,East,East,True,family; political legitimacy,medium,"Family important, tolerance low, confidence in institutions limited, religious attendance infrequent."
276720291,West,East,False,family; political legitimacy,medium,"Strong family values, low tolerance, moderate political legitimacy beliefs, general trust in people."
620050276,West,East,False,family; political legitimacy,medium,"Importance on family, low tolerance, low trust, high political legitimacy concerns."
268050695,East,East,True,religion; family; political legitimacy,high,"Importance of family, low gender equality views, high religious identity, trust in churches, positive immigration views."
826071706,West,West,True,family; political legitimacy,high,"Family and gender views, low trust in institutions, high importance on democracy and political participation."
203720631,East,East,True,family; political legitimacy; trust,high,"Family important, low political action, moderate trust, acceptance of immigrants."
703051332,East,East,True,family; political legitimacy,high,"Importance of family, low political participation, low trust in institutions, negative stance on immigration."
352051461,West,West,True,family; political legitimacy,medium,"Family is important, low importance on religion, acceptance of different races."
705050330,East,East,True,religion; family; political legitimacy,high,"Low religious participation, low importance of child obedience, low trust and acceptance of diversity."
528721012,West,West,True,family; political legitimacy,medium,"Importance of family, low trust, high support for democracy, low religious attendance."
208052497,West,East,False,family | political legitimacy | trust,medium,"Family important, lower acceptance of diverse groups, mixed trust levels, limited political action, institutional distrust."
643720320,East,East,True,family; political legitimacy,medium,"High importance on family, more skeptical of LGBTQ+ rights, mixed political trust, supports traditional values."
643721285,East,East,True,family | political legitimacy | trust,medium,"Importance of family, limited tolerance, moderate trust, preferences for government intervention."
724050281,West,East,False,family; political legitimacy,high,"Importance of family, low tolerance, lower trust in institutions, views on authority."
70051289,East,East,True,family; political legitimacy,high,"Importance on family, low tolerance for diversity, political legitimacy preference, religious identity."
208052556,West,West,True,religion; family; political legitimacy,high,"Family, leisure, and politics rated very important, high trust, low tolerance for diversity."
352050010,West,East,False,family; political legitimacy,high,"High importance on family, low trust in institutions, preference for authority, low religious attendance."
246051183,West,East,False,family; religion; political legitimacy,medium,"Importance of family, acceptance of hierarchy, low tolerance, low religious attendance, government role in life."
276051784,West,East,False,family; trust,medium,"Low tolerance for diversity, low religious participation, skepticism of political systems, strong familial values."
31050379,East,East,True,family; political legitimacy,high,"Family is very important, low acceptance of homosexuality, sceptical of democracy, high religion importance."
428050762,East,East,True,family; political legitimacy,medium,"High importance on family, low trust levels, cautious political views, strong religious beliefs."
276051131,West,East,False,family; political legitimacy,high,"Importance of family, low tolerance, limited democracy support, skepticism towards institutions."
348051239,East,East,True,family | trust,medium,"Family important, distrust in political institutions, low religious participation, moderate attitudes towards governance."
804050285,East,East,True,family; trust,medium,"Importance of family, low tolerance, low trust in institutions, negative views on political system."
203051098,East,East,True,family; trust,medium,"Importance on family, low trust in institutions, low attendance and belief in religion."
804050644,East,East,True,family; political legitimacy,high,"Family is important, low tolerance towards diversity, dissatisfaction with political system, weak trust in institutions."
31050223,East,East,True,religion; family,high,"Low importance on religion, low trust, traditional views on family responsibilities."
246050073,West,East,False,family; political legitimacy,medium,"Importance of family, low tolerance for diversity, lack of confidence in institutions, strong religious identity."
70051185,East,West,False,family; political legitimacy; trust,high,"Family and friends highly valued, political satisfaction, strong democratic beliefs, trust in family."
51051128,East,West,False,family; political legitimacy,high,"Family importance, acceptance of different groups, high democracy value, confidence in political system."
620051048,West,East,False,family; political legitimacy,high,"High importance on family, low tolerance, mixed political views, low religious participation."
31051780,East,East,True,religion; family,high,"High religious belief, low gender equality, low trust in strangers, high importance on family values."
8050132,East,East,True,family; political legitimacy,high,"Strong family importance, low acceptance of diverse groups, dissatisfaction with political system."
826070607,West,East,False,family; political legitimacy,high,"Family important, low tolerance, distrust in institutions, mixed views on democracy."
826071809,West,East,False,family; trust,high,"Family important, low tolerance for diversity, high trust in family, low institutional confidence."
300720359,West,East,False,family; political legitimacy; trust,high,"Family is very important, low trust in institutions, negative view on immigration."
620050128,West,East,False,political legitimacy; trust,high,"Low political trust, disagreement on family roles, high importance on democracy, acceptance of justifiable behaviors."
