uniqid,actual,predicted,correct,domain,confidence,reasoning
705050330,East,East,True,political legitimacy; trust,high,"low tolerance, low religious attendance, distrust in institutions, political dissatisfaction, support political activism, distrust strangers, negative immigration view"
70050179,East,East,True,trust; political legitimacy,medium,"low institutional confidence, low political action, medium importance leisure, low acceptance immigrants, trust mostly close groups, limited tolerance data"
250050242,West,East,False,tolerance; political legitimacy,high,"low tolerance for minorities, low political system satisfaction, low religious attendance, middle trust, immigration viewed negatively"
826071151,West,West,True,family; political legitimacy,medium,"high family and work importance, low tolerance for immigrants and homosexuals, moderate institutional confidence, democracy rated important, secular religion stance, skeptical trust in strangers"
528720115,West,East,False,political legitimacy; democracy perceptions,high,"low tolerance, low religion attendance, trust issues moderate, interested in democracy, political activism, skepticism about elections, family less traditional."
724050841,West,West,True,political legitimacy; trust,high,"low importance of religion, high trust in family and people known, supports immigrants, democratic system satisfaction, political rights valued, limited political action."
756052971,West,East,False,religion; political legitimacy,high,"low importance of religion, no tolerance, low trust in strangers, high political activism, mixed trust in institutions, lower democracy satisfaction"
703050413,East,East,True,family; political legitimacy,medium,"high family importance, moderate political action, low tolerance for minorities, moderate democracy perception, low church attendance, moderate distrust, neutral immigration view"
703050515,East,East,True,political legitimacy; democracy perceptions,medium,"moderate trust, lower political system satisfaction, values work and independence, skeptical tolerance, low religious importance, moderate acceptance of political action"
705050108,East,East,True,political legitimacy; trust,high,"low institutional confidence, dissatisfaction with system, low trust in strangers and minorities, high political action, limited religion importance"
703050904,East,East,True,religion; political legitimacy,high,"high religious identity and attendance, low tolerance for different races and immigrants, low confidence in political parties, skepticism about democracy, distrust of strangers, born 1938."
528721012,West,East,False,political legitimacy; trust,medium,"low religion importance, moderate trust in institutions, low tolerance for immigrants and homosexuals, votes counted less fairly, political action participation evident"
300721082,West,East,False,political legitimacy; trust,high,"low tolerance for different race and immigrants, low political action willingness, mixed institutional confidence, democracy valued, distrust strangers and other nationality"
826071706,West,East,False,family; political legitimacy; trust,high,"family very important, low tolerance to immigrants and homosexuals, low political trust, low religious belief, acceptance of political violence, skeptical of system fairness"
300720907,West,East,False,religion; political legitimacy,high,religion important but low tolerance; distrust in strangers; favors order; low political actions; negative immigration attitude; supports traditional family roles
826051703,West,East,False,religion; family,high,"Religion important, low tolerance (race, immigrants, homosexuals), child obedience and religious faith valued, low trust in strangers, moderate democracy support."
276720796,West,East,False,religion; trust,high,"high religion importance, low tolerance for immigrants, low trust in strangers, moderate political confidence, strict justifiability views"
703720812,East,East,True,family; trust,medium,"Family highly important, low tolerance for immigrants, moderate institutional confidence, high trust in family and neighborhood, politics less crucial."
578050447,West,East,False,political legitimacy; trust,high,"low tolerance for minorities, low church attendance but religious identity, trust in family and neighbors, dissatisfaction with strong leader, high democracy importance."
826070802,West,West,True,religion; family,medium,"religious identity, God importance high, family and friends very important, low tolerance to immigrants and homosexuals, moderate trust, political action participation"
100051007,East,East,True,family; trust,high,"low tolerance to immigrants/race, low political participation, low institutional confidence, strong family importance, high trust in family and known people"
705050157,East,West,False,political legitimacy; religion,high,"low political participation, distrust in institutions, democratic values emphasized, low religiosity, high tolerance for homosexuality, low importance of religion"
807050433,East,East,True,political legitimacy; trust,medium,"low tolerance for different race, low institutional confidence, strong political system dissatisfaction, moderate general trust, pro-authority views"
40051562,West,West,True,religion; political legitimacy,high,"high tolerance, low importance of politics, high church attendance, confidence in churches, low trust in strangers, distrust in political parties, moderate democracy satisfaction, immigration seen quite bad"
528051310,West,East,False,religion; political legitimacy,medium,"high importance of religion, low tolerance for immigrants, moderate distrust, low political satisfaction, conservative family views, limited political activism"
250051599,West,East,False,religion; political legitimacy,high,"low tolerance, low justifiability of behaviors, low trust in institutions, high importance religion, support order maintaining politics, negative on homosexuality"
352050154,West,East,False,political legitimacy; trust,medium,"low tolerance, moderate institutional confidence, doubtful political actions, distrust strangers, weaker religious attendance, less immigration approval."
380051217,West,East,False,religion; political legitimacy,high,"Frequent church attendance, high importance of God, low tolerance, strong institutional confidence in churches and police, moderate political system satisfaction, democratic values."
246050107,West,East,False,political legitimacy; trust,high,"low tolerance, low trust in strangers, moderate institutional confidence, high political participation, low religious belief."
616050332,East,East,True,political legitimacy; trust,medium,"low religion importance, low tolerance for immigrants/homosexuals, low trust in institutions, moderate democracy support, low political system satisfaction"
31050266,East,West,False,trust; authority and autonomy,medium,"high trust in family and neighbors, low political activism, rejects child obedience, accepts homosexuals, values democracy and civil rights, low religiosity attendance but identifies religious"
250051510,West,West,True,family; trust,medium,"high importance of family and friends, tolerance to some groups, moderate institutional trust, low religious attendance, acceptance of democratic principles, trust in close contacts"
804720852,East,East,True,political legitimacy; trust,high,"low tolerance for immigrants and homosexuals, low political action, low institutional confidence, low justifiability of deviant behaviors, distrust outside family, neutral immigration view"
756051406,West,West,True,family; political legitimacy,medium,"high importance of family and work, moderate tolerance, confidence in institutions, values democracy, low justifiability of corruption, moderate trust, positive on immigrants"
528051314,West,West,True,family; political legitimacy,medium,"High importance of family, moderate religious attendance, mixed political trust, tolerance only for heavy drinkers and drug addicts, supports democracy, votes counted fairly"
620051196,West,East,False,political legitimacy; family,medium,"high importance work and family, low tolerance immigrants, distrust in immigrants, moderate political activism, low justification of corruption, mid-low religion attendance, moderate institutional confidence."
268050619,East,East,True,religion; political legitimacy,high,"low tolerance for different race and immigrants, low institutional confidence, low justifiability of behaviors, high importance of religion, low political action participation."
642050276,East,West,False,political legitimacy; trust,medium,"low tolerance for different race, high trust in institutions and family, moderate political system satisfaction, low justifiability for corruption behaviors, religion less central"
578050424,West,East,False,political legitimacy; trust,high,low tolerance for race and immigration; moderate trust; low religion; political system satisfaction high; democracy valued highly; low justifiability of corruption behaviors
826070607,West,East,False,religion; trust,high,"Low tolerance, low immigration approval, low political satisfaction, high religious identity, low trust in strangers and other groups, mixed institutional confidence"
616050330,East,East,True,political legitimacy; trust,high,"low tolerance, low institutional confidence, values order, mixed political action willingness, low trust in neighbors, ageing male with high education"
70050453,East,East,True,political legitimacy; trust,high,"low tolerance, low institutional confidence, moderate political satisfaction, low immigration approval, limited justifiability of corruption behaviors, moderate trust in family and neighbors"
752051028,West,East,False,political legitimacy; democracy perceptions,high,"low religious attendance, low immigrant tolerance, support order and expert decisions, moderate democracy importance, low trust in strangers, poor immigration view"
826050282,West,East,False,political legitimacy; trust,high,"low religion importance, low tolerance except drinkers and drug addicts, low political satisfaction, moderate trust in family and police, poor election fairness, negative immigration view."
643721769,East,East,True,political legitimacy; trust,medium,"low tolerance for immigrants, low institutional confidence, avoid political action, moderate trust, religion not highly important"
804050587,East,West,False,family; trust,medium,"high importance on family and work, full tolerance, moderate trust in strangers and religion, low political action, mixed views on gender roles"
31051429,East,East,True,political legitimacy; trust,medium,"low tolerance for different races and immigrants, low trust in political parties, high importance on family, moderate democracy perceptions, skepticism about election fairness"
70050057,East,East,True,political legitimacy; trust,high,"low tolerance for immigrants and homosexuals, low institutional confidence, distrust strangers, value political order over freedom."
100050124,East,East,True,political legitimacy; trust,medium,"low political participation, dissatisfaction with political system, low trust in neighbors and strangers, low religious importance, moderate tolerance for drug addicts"
100050281,East,East,True,religion; political legitimacy,medium,"high importance of religion and God, moderate trust, mixed democracy views, supportive of political action, ambivalent immigration, traditional family roles less strong"
616051287,East,East,True,trust; political legitimacy,high,"low trust in strangers and other religions, low political activism, moderate confidence in institutions, restrictive tolerance, conservative family gender roles"
51720117,East,West,False,religion; political legitimacy,high,"High importance of religion, strong democratic values, full tolerance, low trust in strangers, rejects traditional gender roles."
804720389,East,East,True,religion; political legitimacy,medium,"high importance religion, low tolerance drug addicts, low political activism, low institutional confidence, limited trust outside family, older age, skeptical election fairness."
756052929,West,East,False,political legitimacy; tolerance,high,"low religion attendance, no tolerance for minorities, moderate trust, political aims on prices and freedom, low confidence in church and police"
826070686,West,East,False,political legitimacy; trust,high,"low religion attendance, low trust in strangers, high political dissatisfaction, prefer order, limited tolerance, low institutional confidence"
112051389,East,East,True,trust; political legitimacy,medium,"moderate family, low religion importance, low institutional confidence, high democracy importance, low trust in strangers, mixed political action, low tolerance for bribery"
40050720,West,East,False,family; political legitimacy,high,"low tolerance for immigrants and minorities, average political system satisfaction, high importance family and friends, trust mainly in family, moderate religiosity, voting viewed as fair."
703050773,East,East,True,trust; political legitimacy,high,"low trust in institutions, low tolerance of race, immigration rated very bad, low religious attendance, low confidence in press and parties, political dissatisfaction, limited trust in strangers, importance on family and work."
276051759,West,East,False,family;political legitimacy,medium,"Family and work important, limited tolerance data, moderate institutional confidence, high democracy importance, low immigration impact, low justifiability of corruption, medium trust."
428050012,East,East,True,religion;political legitimacy,medium,"low religious attendance, atheistic identity, low trust in strangers, limited political action, negative view of immigrants"
643050384,East,East,True,family; political legitimacy,high,family very important; low tolerance to race and immigrants; low trust in neighbourhood; low religion attendance; moderate political system satisfaction; distrust in voting fairness; limited political participation
203720682,East,West,False,family; religion,medium,"family and friends very important, low political action, moderate trust, low religion attendance, tolerant attitudes mixed, equal gender views"
276050847,West,East,False,political legitimacy; trust,high,"low tolerance for immigrants, low trust in strangers, low institutional confidence, intellectual democracy values, low religion importance, negative view on immigration"
112050769,East,West,False,family; political legitimacy,medium,"high importance on family and work, acceptance of homosexual parents, moderate tolerance, moderate institutional confidence, ambiguous democracy perception."
804051339,East,East,True,family; political legitimacy,medium,"low tolerance for immigrants, low political activism, medium trust, religion moderately important, family and work prioritized, skepticism of homosexuality, political aims on fighting prices and maintaining order"
51720087,East,East,True,religion; political legitimacy,high,"low tolerance, distrust strangers, values religion moderately, low political participation, political system dissatisfaction, strong democracy importance, distrust political parties"
208050231,West,West,True,family; political legitimacy,high,"family highly important, low religion, tolerate few minorities, distrust immigrants, support political activism, democratic satisfaction high"
51051005,East,East,True,political legitimacy; trust,high,"low political importance, low political trust, distrust strangers, low religious attendance, skepticism toward homosexuality, political system dissatisfaction, supports claiming benefits."
208052760,West,East,False,political legitimacy; trust,high,"low tolerance for immigrants and homosexuals, low immigration impact, moderate institutional confidence, high trust in family and institutions, older respondent born 1938."
643720772,East,West,False,tolerance; political legitimacy,medium,"high tolerance for minorities, low political action, low trust in institutions, values family and friends, mixed importance of work and leisure"
8050734,East,East,True,political legitimacy; trust,medium,"low political trust, low institutional confidence in churches and parties, low tolerance for immigrants, high family importance, distrust in strangers and foreigners"
703720348,East,West,False,family; political legitimacy,medium,"Family and friends highly important, low tolerance for immigrants/race, distrust strangers, democracy valued, religion low importance, low political action."
804050716,East,East,True,religion; political legitimacy,medium,"low tolerance, moderate religious belief, low institutional confidence, limited political activism, mixed democracy perceptions, trust mainly family, immigration viewed quite good"
8050595,East,East,True,political legitimacy; trust,medium,"low trust except family, poor institutional confidence, politics not important, democracy valued, low political action, immigration positive, moderate religion attendance"
348051145,East,East,True,religion; political legitimacy,high,"strong religious attendance and identity, low tolerance for some groups, moderate political trust, dissatisfaction with democracy, distrust in press and unions."
380051759,West,East,False,religion; trust,high,"low tolerance for minorities, low immigration acceptance, strong religious faith, low trust in strangers, low institutional confidence, skeptical about political system."
724051041,West,East,False,family; political legitimacy,high,"low tolerance, trust in family, importance of family and religion, moderate political confidence, dissatisfied political system, values hard work and obedience"
203720465,East,East,True,political legitimacy; trust,medium,"Low religious importance, low tolerance for immigrants and homosexuals, moderate trust, dissatisfaction with political system, low democratic quality perception"
643720680,East,East,True,political legitimacy; trust,medium,"moderate institutional confidence, slightly low tolerance, political skepticism, mixed justifiability of behaviors, trust moderate across groups, moderate satisfaction with politics"
276720518,West,West,True,religion; political legitimacy,medium,"low tolerance for immigrants, trust in institutions, importance of religion, political participation, support democracy, voting fairness, aged male respondent"
703050528,East,East,True,religion; trust,high,"low tolerance, religious faith valued, low trust in strangers and other religions, low political action, moderate institutional confidence, democracy rated important but low trust patterns"
620050946,West,West,True,political legitimacy; trust,medium,"high political satisfaction and democracy values, low religion importance, moderate trust, mixed tolerances, skeptical about institutions"
528721763,West,East,False,family; trust,medium,"family most important, low tolerance to immigrants, low religious attendance, moderate trust in family and neighbors, dissatisfaction with political system"
528720687,West,East,False,family; political legitimacy,medium,"low tolerance for different race and homosexuals, low trust in institutions, importance on family, low political action, moderate democracy perception, older age, limited religious belief."
528050231,West,East,False,family; trust,medium,"low tolerance except drug addicts, moderate political distrust, low religious importance, high family trust, moderate democracy importance, limited acceptance of immigrants"
724051125,West,East,False,trust; political legitimacy,high,"low importance of politics and religion, low tolerance for immigrants and homosexuals, low institutional confidence in churches and police, high trust in family and neighborhood, dissatisfaction with political system, prefers experts over democratic leadership."
380050515,West,East,False,family; trust,high,"low religion importance, high trust in family and others, low tolerance for homosexuals, immigration viewed very bad, traditional family roles disagreed"
620050878,West,West,True,family; political legitimacy,medium,"family very important, tolerance selective, moderate political confidence, low political action, low religious attendance, moderate trust levels"
642720133,East,East,True,religion; trust,high,"high importance family and religion, low tolerance different race/immigrants, low political activism, low justifiability behaviors, moderate trust, low importance of God"
642720411,East,East,True,religion; political legitimacy,high,"low tolerance, low justifiability of behaviors, low immigration acceptance, strong religious identity, moderate trust, political system satisfaction, democracy importance high but poor election fairness."
51051461,East,West,False,religion; family,medium,"high family and religion importance, distrust of strangers, low tolerance for immigrants, high church confidence, democracy valued"
705050965,East,East,True,trust; authority and autonomy,high,"Low political action, low institutional confidence, distrust strangers, low religious attendance, low importance religion, negative immigration impact, skeptical on trust and election fairness"
642051385,East,East,True,religion; family,high,"high importance of family and religion, low tolerance for immigrants and race, distrust outside family, low political trust, strong religious beliefs, traditional family views"
112050258,East,East,True,religion; political legitimacy,medium,"high importance religion, low institutional trust, dissatisfaction with politics, low tolerance race/immigrants, belief in God important, low political participation"
616051040,East,East,True,political legitimacy; trust,high,"low tolerance, low institutional confidence, distrust in strangers, low immigration approval, strong family importance, low political satisfaction"
528720411,West,East,False,family; political legitimacy,high,"low tolerance for homosexuals, distrust in institutions, low religion importance, strong family focus, political system dissatisfaction, skeptical democracy perceptions"
380052047,West,East,False,political legitimacy; trust,high,"low tolerance for race and homosexuality, moderate institutional confidence, high political participation, mixed trust levels, low importance of religion, skeptical democracy perceptions."
705050623,East,West,False,trust;family,medium,"High trust in people and family, low religious attendance but religious identity, tolerance for homosexuals, political engagement, mixed institutional confidence, values family highly."
380051467,West,East,False,family; political legitimacy,medium,"low tolerance for race, immigrants, homosexuals; moderate institutional confidence; family highly important; moderate democracy value; older generation; limited trust in strangers"
643720936,East,East,True,political legitimacy; trust,high,"low tolerance for race and homosexuals, high political system satisfaction, low political activism, low trust in strangers, limited immigration acceptance"
