uniqid,chunk,actual,predicted,correct,domain,confidence,reasoning
8050753,1,East,West,False,authority and autonomy;political legitimacy,low,"high support for euthanasia, strong democratic norms, high equality emphasis, moderate institutional trust"
8050858,1,East,East,True,authority and autonomy;political legitimacy,medium,"strong order and obedience, low protest willingness, low immigration support, high democracy importance"
8050630,1,East,East,True,political legitimacy;authority and autonomy,medium,"low political trust, supports strong leader, low protest engagement, traditional family views, low tolerance"
8051412,1,East,East,True,family;authority and autonomy,medium,"Traditional gender views, strong family duty, religious child quality, order priority, low protest participation"
8050975,1,East,West,False,political legitimacy;authority and autonomy,medium,"supports democracy strongly, rejects strong leader, low political participation, egalitarian gender views, pro-immigration"
8050800,1,East,East,True,family;authority and autonomy,medium,"traditional family importance, religious, low tolerance homosexuality, strong child duty norms, strong leader support"
8051030,1,East,East,True,authority and autonomy;political legitimacy,medium,"strong obedience and parental duty, distrust institutions, support strong leader, high democracy importance"
8051372,1,East,East,True,authority and autonomy;political legitimacy,medium,"low tolerance minorities, strong order focus, strong democracy support, traditional child duties, older male"
8050260,1,East,West,False,family;authority and autonomy,medium,"family central, tolerant of homosexuality, supports gender equality, democratic rights important, accepts immigration"
8050317,1,East,East,True,authority and autonomy;political legitimacy,medium,"strong order and obedience preference, low tolerance minorities, high democracy support, low institutional trust"
8050705,1,East,East,True,political legitimacy;authority and autonomy,medium,"high support for redistribution, low protest willingness, strong order focus, traditional morality, moderate democracy satisfaction"
8050906,1,East,East,True,political legitimacy;authority and autonomy,medium,"low political satisfaction, strong order preference, low institutional trust, traditional morality, skeptical elections"
8050275,1,East,East,True,family;authority and autonomy,medium,"traditional gender roles, duty to have children, obedience unimportant, low political action, order prioritized"
8050362,1,East,East,True,authority and autonomy;political legitimacy,medium,"strong order priority, low political trust, low activism, traditional sexuality views, high democracy ideals"
8051388,1,East,West,False,family;authority and autonomy,medium,"high democracy support, egalitarian gender views, moderate homosexuality acceptance, family central, immigration positive"
8050553,1,East,East,True,family;authority and autonomy,medium,"traditional family focus, conservative on homosexuality, strong order preference, low protest engagement, moderate trust"
8050304,1,East,East,True,authority and autonomy;political legitimacy,medium,"low tolerance immigrants, strong child duty norms, strong leader support, low democracy satisfaction, low redistribution"
8050045,1,East,East,True,authority and autonomy;political legitimacy,medium,"low political participation, strong democracy support, high homosexuality acceptance, high abortion support, low institutional confidence"
8050991,1,East,East,True,authority and autonomy;political legitimacy,medium,"strong order preference, low political satisfaction, traditional family views, low tolerance, low activism"
8050592,1,East,West,False,family;authority and autonomy,medium,"Strong family focus, traditional morality, supports democracy, tolerant of homosexuality, positive immigration view"
8050278,1,East,East,True,family;authority and autonomy,medium,"Strong family focus, traditional morality, low political action, high democracy support, moderate institutional trust"
8050164,1,East,East,True,authority and autonomy;political legitimacy,high,"strong order, low autonomy, low tolerance, high institutional trust, egalitarian democracy views, pro-immigration"
8051407,1,East,East,True,political legitimacy;authority and autonomy,medium,"strong order priority, low political trust, supports strong leader, low protest, traditional morality"
8050561,1,East,East,True,political legitimacy;authority and autonomy,medium,"strong order and equality focus, low institutional trust, low protest, traditional morality, skeptical elections"
8051157,1,East,West,False,family;authority and autonomy,medium,"high family importance, traditional morals, supports strong leader, low homosexuality acceptance, moderate immigration openness"
8050079,1,East,West,False,family;authority and autonomy,medium,"high family importance, traditional child qualities, supports democracy, rejects strong leader, moderate gender egalitarianism"
8051317,1,East,East,True,family;authority and autonomy,medium,"Traditional family focus, obedience and thrift valued, strong order preference, low tolerance homosexuality, high democracy importance"
8050625,1,East,East,True,family;authority and autonomy,medium,"traditional family importance, low homosexuality acceptance, strong child duty norms, low institutional trust, low democracy satisfaction"
8050071,1,East,East,True,political legitimacy;authority and autonomy,medium,"strong order priority, low political satisfaction, low institutional trust, traditional gender views, low protest engagement"
8050345,1,East,West,False,authority and autonomy;trust,medium,"supports democracy, rejects strong leaders, low institutional confidence, tolerant of immigration, moderate interpersonal trust"
8051219,1,East,East,True,authority and autonomy;political legitimacy,medium,"strong order focus, low institutional confidence, low political participation, strict moral views, traditionalism"
8050866,1,East,East,True,political legitimacy;authority and autonomy,medium,"high support strong leader, experts rule, low party trust, high equality, traditional gender views"
8050813,1,East,East,True,family;authority and autonomy,medium,"Traditional family focus, conservative on homosexuality, supports strong leader, high democracy importance, positive immigration"
8050820,1,East,East,True,family;authority and autonomy,medium,"strong family focus, traditional child qualities, low tolerance minorities, order priority, high institutional confidence"
8051023,1,East,East,True,authority and autonomy;political legitimacy,medium,"strong support income equality, strong obedience norm, distrust institutions, low political participation, young"
8051178,1,East,West,False,family;authority and autonomy,medium,"high gender equality support, tolerant of homosexuality and immigration, low political participation, moderate institutional trust"
8050758,1,East,West,False,authority and autonomy;political legitimacy,medium,"supports gender equality, high democratic ideals, tolerant of homosexuality, positive immigration view, low institutional confidence"
8050814,1,East,East,True,political legitimacy;authority and autonomy,medium,"strong order and price stability preference, high democracy importance, traditional gender views, low protest engagement"
8050068,1,East,East,True,authority and autonomy;political legitimacy,medium,"low political satisfaction, strong democracy support, low institutional confidence, traditional child qualities, moderate gender egalitarianism"
8050951,1,East,East,True,political legitimacy;authority and autonomy,medium,"low political satisfaction, low protest willingness, traditional family duties, moderate gender equality, economic focus"
8050669,1,East,East,True,family;authority and autonomy,medium,"strong family focus, traditional child qualities, low tolerance, strong leader support, low political action"
8050874,1,East,East,True,family;authority and autonomy,medium,"strong family focus, traditional gender roles, low political action, strict moral views, pro-immigration"
8050913,1,East,East,True,authority and autonomy;political legitimacy,medium,"strong family duty norms, low tolerance minorities, strong leader support, low institutional trust, egalitarian democracy ideals"
8051251,1,East,East,True,political legitimacy;authority and autonomy,medium,"strong order priority, low democracy support, high death penalty support, low institutional trust"
8050963,1,East,West,False,family;authority and autonomy,medium,"Strong rejection of traditional gender roles, supports homosexuality, opposes political violence, supports euthanasia, Western pattern"
8050124,1,East,East,True,authority and autonomy;trust,medium,"High order priority, low political action, low institutional trust, low immigration support, older male"
8051031,1,East,East,True,authority and autonomy;political legitimacy,medium,"strong order and strong leader preference, low institutional trust, traditional morals, high democracy ideals"
8051417,1,East,East,True,political legitimacy;authority and autonomy,medium,"low political satisfaction, prefers strong leader, low protest engagement, traditional on homosexuality, moderate gender egalitarianism"
8050980,1,East,West,False,family;authority and autonomy,medium,"High family importance, egalitarian gender views, democratic support, tolerant to immigrants, low institutional trust"
8050359,1,East,East,True,family;authority and autonomy,medium,"strong family focus, traditional child qualities, low tolerance homosexuality, strict moral views, skeptical politics"
8050343,1,East,East,True,family;authority and autonomy,medium,"Religion central, traditional family duties, low tolerance minorities, supports death penalty, low institutional confidence"
8051325,1,East,East,True,family;authority and autonomy,medium,"strong family focus, traditional child qualities, low tolerance minorities, order priority, moderate democracy importance"
8050052,1,East,East,True,authority and autonomy;political legitimacy,medium,"strong order priority, low political action, high expert rule support, restrictive moral attitudes"
8050030,1,East,East,True,authority and autonomy;political legitimacy,medium,"strong order focus, low protest willingness, strict moral views, traditional child qualities, democracy valued"
8051103,1,East,West,False,authority and autonomy;trust,medium,"Supports free elections and civil rights, tolerant of prostitution and euthanasia, positive immigration, moderate generalized trust"
8050639,1,East,West,False,authority and autonomy;political legitimacy,medium,"supports homosexuality, supports democratic elections, low institutional trust, accepts petitions and boycotts"
8050482,1,East,West,False,authority and autonomy;political legitimacy,medium,"strong support for democracy, high institutional trust, egalitarian gender views, positive immigration attitude"
8050462,1,East,East,True,family;authority and autonomy,medium,"Strong family focus, low tolerance minorities, traditional morality, hierarchical views, skeptical of immigration"
8050077,1,East,West,False,authority and autonomy;political legitimacy,medium,"high support for democracy, egalitarian gender views, positive immigration view, low protest willingness"
8050050,1,East,East,True,authority and autonomy;political legitimacy,medium,"strong order and security focus, low immigration acceptance, traditional gender views, high institutional trust"
8050209,1,East,East,True,authority and autonomy;political legitimacy,medium,"strong order and obedience preference, low political satisfaction, high democracy importance, restrictive morality"
8050619,1,East,East,True,family;authority and autonomy,medium,"strong family focus, low political participation, traditional morality, skeptical of homosexuality, supports strong leaders"
8051194,1,East,East,True,political legitimacy;authority and autonomy,medium,"strong support income equality, strong state role, low party trust, approves death penalty, skeptical elections"
8050219,1,East,East,True,political legitimacy;authority and autonomy,medium,"low political satisfaction, low institutional trust, strong order focus, strong egalitarian democracy expectations"
8050262,1,East,East,True,political legitimacy;authority and autonomy,medium,"low political satisfaction, low institutional trust, supports strong leader, high homosexuality acceptance, positive immigration"
8051133,1,East,East,True,political legitimacy;authority and autonomy,medium,"prioritizes order, distrusts institutions, supports strong leader, low tolerance, traditional morality, high democracy importance"
8050238,1,East,West,False,authority and autonomy;political legitimacy,medium,"supports democracy, tolerant of homosexuality and prostitution, low institutional trust, accepts political protest"
8051098,1,East,West,False,political legitimacy;authority and autonomy,medium,"supports democracy, opposes strong leader, high redistribution support, tolerant of immigration, low political satisfaction"
8050651,1,East,East,True,political legitimacy;authority and autonomy,medium,"strong order priority, low democracy satisfaction, strong leader support, low institutional trust, traditional morals"
8051369,1,East,East,True,family;authority and autonomy,medium,"Traditional family focus, low tolerance for abortion and euthanasia, strong order preference, low institutional trust"
8050016,1,East,East,True,family;authority and autonomy,medium,"high family importance, traditional child qualities, low tolerance homosexuality, order over freedoms, strong parental duty"
8050414,1,East,East,True,family;authority and autonomy,medium,"Traditional gender views, strong family focus, low homosexuality acceptance, low immigration support, limited protest engagement"
8050347,1,East,West,False,authority and autonomy;political legitimacy,medium,"supports free elections, democracy important, low obedience, tolerant to homosexuality, positive immigration impact"
8051339,1,East,East,True,authority and autonomy;political legitimacy,medium,"high order and obedience priority, low protest willingness, strong state equality role, moderate tolerance"
8050169,1,East,East,True,authority and autonomy;trust,medium,"strong order and obedience preference, low protest willingness, high euthanasia support, strong family trust"
8050232,1,East,East,True,family;authority and autonomy,medium,"Strong family focus, traditional gender views, low minority tolerance, low institutional trust, pro-death-penalty"
8051290,1,East,West,False,authority and autonomy;trust,medium,"Supports gender equality, moderate homosexuality acceptance, high immigration support, moderate institutional trust, democratic norms valued"
8051102,1,East,West,False,authority and autonomy;political legitimacy,medium,"supports free elections, civil rights, gender equality, democracy important, distrusts elections, tolerant to immigrants"
8051390,1,East,West,False,authority and autonomy;political legitimacy,medium,"strong democratic principles, egalitarian gender views, strict moral codes, pro-immigration, order-focused politics"
8051002,1,East,East,True,authority and autonomy;political legitimacy,medium,"low support for strong leader, low democracy rating, low homosexuality acceptance, high death penalty support"
8051366,1,East,East,True,authority and autonomy;family,medium,"traditional gender views, low political action, order priority, low outgroup trust, restrictive tolerance"
8050944,1,East,East,True,political legitimacy;authority and autonomy,medium,"prioritizes order over prices, low political satisfaction, supports strong leader, moderate gender traditionalism"
8050412,1,East,East,True,political legitimacy;authority and autonomy,medium,"low institutional trust, strong order preference, strong democracy support, low political action, traditional morality"
8050498,1,East,East,True,family;authority and autonomy,medium,"Traditional family focus, conservative on homosexuality and abortion, order over participation, low protest engagement"
8051391,1,East,East,True,authority and autonomy;political legitimacy,medium,"strong order, obedience, income equality preferences, low political action, moderate democracy satisfaction, traditional morality"
8051069,1,East,East,True,family;authority and autonomy,medium,"High family importance, traditional child obedience, order over freedoms, low institutional trust, moderate homosexuality acceptance"
8050717,1,East,East,True,family;authority and autonomy,medium,"strong family focus, traditional morality, low protest willingness, order priority, moderate gender egalitarianism"
8050290,1,East,West,False,authority and autonomy;political legitimacy,medium,"supports homosexual parenting, high democracy importance, accepts immigration, high homosexuality justification, favors free elections"
8050808,1,East,East,True,family;authority and autonomy,medium,"Strong traditional morality, strong family duty, low tolerance homosexuality, supports order, distrusts institutions"
8050465,1,East,East,True,family;authority and autonomy,medium,"Traditional family focus, low protest participation, low trust, restrictive on homosexuality, supports euthanasia"
8051092,1,East,West,False,family;authority and autonomy,medium,"high democracy support, egalitarian gender views, tolerant to immigrants, opposes religious law, young age"
8050673,1,East,East,True,authority and autonomy;political legitimacy,medium,"strong order and strong leader preference, low protest willingness, traditional gender views, high equality support"
8051300,1,East,West,False,family;authority and autonomy,medium,"high tolerance of homosexuality, supports homosexual parents, opposes gender hierarchy, supports democracy, moderate institutional trust"
8050888,1,East,East,True,family;authority and autonomy,medium,"traditional family focus, religious child qualities, low protest willingness, strong leader support, low homosexuality approval"
8050757,1,East,East,True,authority and autonomy;trust,medium,"strong family focus, low political action, low institutional confidence, low immigration support, traditional morality"
8050783,1,East,East,True,political legitimacy;authority and autonomy,medium,"low institutional trust, supports strong leader, low democracy satisfaction, high obedience, low corruption tolerance"
8050116,1,East,East,True,authority and autonomy;political legitimacy,medium,"strong order and obedience preference, low protest willingness, strong leader support, strict moral traditionalism"
8050932,1,East,East,True,political legitimacy;authority and autonomy,medium,"strong order preference, low political satisfaction, high democracy importance, traditional morals, moderate immigration acceptance"
8050375,1,East,East,True,authority and autonomy;political legitimacy,high,"strong order preference, low political satisfaction, low tolerance, punitive attitudes, negative immigration views"
8050562,1,East,East,True,political legitimacy;authority and autonomy,medium,"strong order and strong leader support, low institutional trust, restrictive morality, positive immigration attitude"
8051041,1,East,East,True,authority and autonomy;political legitimacy,medium,"strong order priority, low political action, low institutional trust, strict moral traditionalism"
8050902,1,East,East,True,authority and autonomy;political legitimacy,medium,"strong religious faith, traditional gender roles, order priority, low protest willingness, high institutional trust"
8050478,1,East,West,False,political legitimacy;authority and autonomy,medium,"strong support for democracy, low trust institutions, tolerant of homosexuality, positive immigration, active protest orientation"
8050102,1,East,East,True,family;authority and autonomy,medium,"traditional family focus, low tolerance homosexuality, strong obedience to rulers, low institutional trust"
8051028,1,East,East,True,family;authority and autonomy,medium,"strong family duty, traditional gender roles, low tolerance minorities, order priority, high institutional trust"
8051139,1,East,East,True,family;authority and autonomy,medium,"traditional family focus, low political trust, low immigration support, order priority, moderate LGBT tolerance"
8050044,1,East,West,False,family;authority and autonomy,medium,"high homosexuality acceptance, egalitarian gender views, democracy essential, distrust institutions, family central, supports immigration"
8051418,1,East,West,False,family;authority and autonomy,medium,"High divorce acceptance, supports homosexual parents, supports gender equality, tolerant to immigrants, opposes strong leaders"
8050600,1,East,East,True,authority and autonomy;political legitimacy,medium,"strong order preference, low political action, high death penalty support, traditional obedience, skeptical elections"
8050707,1,East,East,True,family;authority and autonomy,medium,"traditional gender roles, strong family duty, low tolerance minorities, high democracy importance, moderate institutional trust"
8050523,1,East,East,True,authority and autonomy;political legitimacy,high,"strong order and obedience, low minority tolerance, low immigration support, high democracy importance"
8050193,1,East,East,True,authority and autonomy;political legitimacy,high,"strong order priority, low political action, strong leader support, strict moral views, traditional gender views"
