uniqid,actual,predicted,correct,domain,confidence,reasoning
705050330,East,West,False,religion;authority and autonomy,medium,"atheist identity, never attends church, low church confidence, supports homosexuality, high abortion and euthanasia approval, democratic values"
70050179,East,East,True,religion;trust,medium,"high God importance, frequent beliefs in afterlife and hell, low institutional confidence, strong family trust, skeptical about democracy quality"
250050242,West,East,False,religion;authority and autonomy,medium,"low religious practice, secular beliefs, restrictive on homosexuality, lower immigration acceptance, emphasizes equality and state redistribution, moderate institutional distrust"
826071151,West,West,True,religion;authority and autonomy,medium,"atheist identity, rare attendance, homosexuality fully justified, abortion divorce euthanasia acceptable, democracy valued, moderate institutional trust"
528720115,West,West,True,authority and autonomy;religion,medium,"secular and atheist, liberal morality, high democracy support, high trust, negative toward homosexual neighbours, older, confident in institutions"
724050841,West,West,True,authority and autonomy;political legitimacy,medium,"secular, low church attendance, tolerant of immigration, supports free elections, trusts police and courts, accepts euthanasia, supports protests"
756052971,West,West,True,religion;authority and autonomy,medium,"secular beliefs, God low importance, accepting homosexuality, supports abortion and euthanasia, prioritizes order, distrusts elections, favors democracy"
703050413,East,West,False,authority and autonomy;family,medium,"supports homosexual parenting, tolerant of homosexuality, secular, values free speech, supports democracy, moderate trust, limited immigration skepticism"
703050515,East,East,True,religion;authority and autonomy,medium,"religious, high value of God, mixed tolerance, order over participation, limited protest, moderate institutional trust, traditional gender views"
705050108,East,West,False,religion;authority and autonomy,medium,"atheist identity, low church attendance, permissive on abortion and divorce, supports free elections, low obedience emphasis, moderate homosexuality acceptance"
703050904,East,East,True,religion;family,high,"frequent religious practice, God important, traditional on homosexuality and abortion, obedience unimportant, high family trust, low political confidence"
528721012,West,West,True,religion;authority and autonomy,medium,"secular identity, rare attendance, liberal on sexuality, supports abortion and euthanasia, moderate child obedience, accepts political activism"
300721082,West,West,True,religion;authority and autonomy,medium,"young female, atheist but God important, tolerant on homosexuality, accepts prostitution and abortion, supports democracy, moderate institutional trust"
826071706,West,West,True,religion;authority and autonomy,medium,"atheist identity, never attends church, rejects religious authorities, strong support for homosexuality, divorce, abortion, euthanasia, free elections"
300720907,West,East,False,religion;family,medium,"strong religious belief, traditional gender views, obedience stressed, immigration negative, order priority, limited protest participation, moderate democracy satisfaction"
826051703,West,East,False,religion;family,medium,"weekly religious practice, religious identity, God essential, low tolerance homosexuality, religious child qualities, distrust strangers, moderate democratic satisfaction"
276720796,West,East,False,religion;authority and autonomy,high,"strong religious belief, condemns all taboo behaviors, low tolerance for homosexuals, skeptical of immigration, supports free speech, moderate institutional trust"
703720812,East,East,True,religion;authority and autonomy,medium,"low political action, higher religious belief despite rare attendance, limited homosexuality acceptance, stronger obedience norms, higher trust in family"
578050447,West,West,True,religion;authority and autonomy,medium,"secular attendance and beliefs, liberal on homosexuality and abortion, strong democratic values, high trust, supports immigration"
826070802,West,East,False,religion;authority and autonomy,medium,"high religious importance, high trust levels, skeptical of homosexuality, skeptical of immigrant impact, conservative democracy views, older widow"
100051007,East,West,False,family;authority and autonomy,medium,"strong focus on family work democracy, secular nonbelieving, rejects political action, opposes benefits cheating, supports abortion divorce euthanasia"
705050157,East,West,False,religion;authority and autonomy,medium,"atheist identity, religion unimportant, supports homosexuality, high democracy importance, low political action, moderate institutional trust, positive immigration attitude"
807050433,East,West,False,political legitimacy;authority and autonomy,medium,"dissatisfied with politics, but supports democracy, low church confidence, moderate LGBT tolerance, high trust, positive immigration, egalitarian gender views"
40051562,West,East,False,religion;family,high,"strong religious belief, regular attendance, low tolerance of abortion, homosexuality, prostitution, low immigration evaluation, nonparticipation political action"
528051310,West,East,False,religion;authority and autonomy,medium,"weekly attendance, believer, God central, anti-immigration, low neighbour tolerance, traditional gender views, order-priority politics"
250051599,West,East,False,religion;family,high,"family and religion prioritized, traditional child obedience, rejection of homosexuality, low minority tolerance, order priority, religious believer"
352050154,West,West,True,religion;authority and autonomy,medium,"secular identity, rare attendance, liberal on homosexuality, supports divorce and abortion, moderate democracy support, medium immigration acceptance"
380051217,West,East,False,religion;authority and autonomy,high,"frequent religious attendance, literal belief heaven and hell, God central, low tolerance homosexuality, strong order preference, distrust elections"
246050107,West,West,True,religion;authority and autonomy,medium,"secular, low religious belief, permissive on homosexuality and abortion, high democratic support, favors free elections, uses institutional political action"
616050332,East,West,False,religion;authority and autonomy,medium,"atheist identity, low church confidence, supports homosexuality, liberal on abortion and euthanasia, moderate trust, democracy importance high"
31050266,East,West,False,religion;family,medium,"weekly church distrust, God essential, strict morality, tolerant to homosexuals, egalitarian gender attitudes, strong family centrality"
250051510,West,West,True,religion;authority and autonomy,medium,"secular identity, low church attendance, high gender equality, high LGBT acceptance, supports free elections, civil rights, democracy importance"
804720852,East,East,True,religion;political legitimacy,high,"high importance of God, regular practice, egalitarian democracy views, distrust institutions, low political participation, skeptical on homosexuality"
756051406,West,West,True,religion;authority and autonomy,medium,"high religious practice and belief, accepts homosexuality, supports freedom of speech, high democracy importance, moderate institutional trust"
528051314,West,West,True,religion;family,medium,"secular attendance, identifies not religious, permissive on abortion euthanasia homosexuality, high family trust, supports democracy, medium system satisfaction"
620051196,West,East,False,family;authority and autonomy,high,"strong family duty norms, traditional gender views, high obedience, low homosexuality acceptance, high democracy support, low immigration support"
268050619,East,East,True,religion;family,high,"traditional religious beliefs, strict moral norms, strong family importance, low tolerance homosexuals, sceptical immigration, order-priority politics"
642050276,East,East,True,religion;family,medium,"moderate religious practice, low abortion acceptability, traditional family duties, sceptical on homosexuality, strong order preference, limited protest orientation"
578050424,West,West,True,authority and autonomy;family,medium,"democratic system essential, low support for strong leaders, low religiosity, liberal on homosexuality and divorce, family-oriented"
826070607,West,West,True,religion;authority and autonomy,medium,"tolerant to homosexuality, liberal on divorce euthanasia casual sex, high belief in God and afterlife, moderate church attendance"
616050330,East,West,False,authority and autonomy;religion,medium,"high support for free elections, civil rights, gender equality, low church confidence, tolerant of prostitution, divorce, euthanasia"
70050453,East,East,True,religion;authority and autonomy,high,"low tolerance minorities, high importance God, traditional gender views, order over participation, sceptical protest, negative immigration, supports equality"
752051028,West,West,True,religion;authority and autonomy,medium,"atheist identity, no belief in God or afterlife, low God importance, tolerant of homosexuality and abortion, moderate gender egalitarianism"
826050282,West,West,True,religion;authority and autonomy,medium,"secular attendance, low God importance, rejects religious law, supports homosexual parents, supports women’s rights, distrusts immigration"
643721769,East,East,True,religion;trust,medium,"distrusts churches, religious but low God importance, low general trust, limited political action, moderate democracy importance, moderate homosexuality rejection"
804050587,East,West,False,religion;authority and autonomy,medium,"weekly religious practice, tolerant to homosexuals, egalitarian gender views, supports democracy, moderate welfare views, limited political participation"
31051429,East,East,True,religion;authority and autonomy,high,"weekly religious practice, God central, low tolerance homosexuality, strong child duty, family over friends, limited protest repertoire"
70050057,East,East,True,religion;authority and autonomy,high,"secular beliefs, high importance income equality, low institutional trust, low acceptance homosexuality, high support strong authority, low protest participation"
100050124,East,West,False,religion;authority and autonomy,medium,"atheist, never attends religious services, strong democratic norms, rejects political violence, supports free elections, egalitarian gender views"
100050281,East,East,True,religion;authority and autonomy,medium,"strong religious belief, traditional gender views, duty to have children, family obligation, moderate immigration stance, moderate democracy emphasis"
616051287,East,East,True,religion;authority and autonomy,high,"frequent religious practice, belief in God and afterlife, low tolerance of homosexuality, low protest readiness, order-prioritizing political aims"
51720117,East,East,True,religion;authority and autonomy,high,"frequent church attendance, God essential, disapproves homosexuality, supports strong leader, low protest readiness, high political satisfaction"
804720389,East,East,True,religion;authority and autonomy,high,"weekly religious, strong belief in God, strict on morals, low political participation, high democracy demand, limited tolerance"
756052929,West,West,True,family;authority and autonomy,medium,"tolerant of homosexuality, tolerant of prostitution, tolerant of euthanasia, secular, supports gender equality, supports democratic elections, individual autonomy valued"
826070686,West,West,True,authority and autonomy;political legitimacy,medium,"supports homosexuality, secular, supports free elections, supports strong leaders, accepts immigrants, trusts institutions, favors civil rights"
112051389,East,East,True,religion;authority and autonomy,medium,"secular identity, belief in God and afterlife, traditional child obedience low, strong democracy emphasis, low institutional trust"
40050720,West,East,False,religion;authority and autonomy,high,"medium religious practice, traditional homosexuality views, order over prices, strong democratic ideals, low immigration enthusiasm, moderate corruption tolerance"
703050773,East,West,False,religion;authority and autonomy,medium,"secular identity, low church confidence, tolerant on homosexuality, gender-egalitarian on leadership, supports protests, distrustful of institutions, anti-immigration"
276051759,West,West,True,religion;family,medium,"religious self-identity, low attendance, low child obedience, high divorce acceptability, high euthanasia acceptability, moderate homosexuality acceptance, strong democracy support"
428050012,East,East,True,religion;authority and autonomy,medium,"atheist identity, never attends services, low God importance, restrictive homosexuality acceptance, low political action, order prioritized over freedoms"
643050384,East,East,True,religion;authority and autonomy,medium,"low religiosity, low abortion support, family duty emphasis, order priority, low homosexual tolerance, anti-fare-dodging, petition use only"
203720682,East,West,False,religion;authority and autonomy,medium,"nonreligious identity, low God importance, liberal on homosexuality, abortion, euthanasia, political violence rejected, supports tax redistribution"
276050847,West,West,True,family;authority and autonomy,medium,"secular, liberal on homosexuality and abortion, supports democracy and civil rights, distrusts churches, tolerant of euthanasia and casual sex"
112050769,East,West,False,family;authority and autonomy,medium,"tolerant of homosexuality, rejects gender hierarchy, moderate religiosity, supports child autonomy, open to political protest, moderate institutional confidence"
804051339,East,East,True,religion;authority and autonomy,medium,"accepts benefits fraud, high importance of God, conservative on sexuality, low protest participation, limited minority tolerance, egalitarian gender views"
51720087,East,East,True,religion;authority and autonomy,high,"religious, traditional morality, reject homosexuality, strong order preference, low protest engagement, strong parental duty, skeptical about elections"
208050231,West,West,True,religion;authority and autonomy,medium,"atheist, religion unimportant, high support for abortion euthanasia homosexuality divorce casual sex, rejects religious child qualities, supports democracy"
51051005,East,East,True,religion;authority and autonomy,high,"importance of religion high, homosexuality never justifiable, abortion never justifiable, strong traditional gender views, strong leader support"
208052760,West,West,True,family;authority and autonomy,medium,"high tolerance of homosexuality, high divorce acceptance, democratic norms essential, supports income equality, moderate religiosity, critical of immigration"
643720772,East,West,False,political legitimacy;authority and autonomy,medium,"prioritizes price stability, supports democracy, rejects political violence, low institutional confidence, neutral on immigration, low political participation"
8050734,East,West,False,religion;authority and autonomy,low,"secular identity, low religious practice, strong free elections, strong democracy importance, low justifiability for homosexuality, egalitarian gender views"
703720348,East,East,True,family;authority and autonomy,medium,"high family importance, distrust of homosexuals, low political participation, strong egalitarianism, atheism, low abortion approval"
804050716,East,East,True,religion;authority and autonomy,high,"religious, frequent attendance, low tolerance homosexuality, traditional child qualities, low political action, moderate democracy support, low institutional confidence"
8050595,East,East,True,religion;authority and autonomy,medium,"high family importance, low religious practice but religious identity, low political participation, low institutional trust, critical of gender hierarchy"
348051145,East,East,True,religion;family,high,"weekly religious attendance, belief in God and afterlife, strong family duty norms, anti-homosexuality, sceptical on immigration, order over speech"
380051759,West,East,False,religion;family,high,"religious attendance weekly, believes in God, low tolerance homosexuals, abortion justified, family central, distrust immigrants, prefers fighting prices"
724051041,West,West,True,religion;authority and autonomy,medium,"tolerant to homosexuality and euthanasia, high God importance, frequent attendance, supports free elections, supports civil rights, distrusts authorities"
203720465,East,West,False,authority and autonomy;family,medium,"secular, permissive on homosexuality and abortion, supports free elections, moderate trust, gender-egalitarian education views, low political violence approval"
