uniqid,actual,predicted,correct,domain,confidence,reasoning
705050330,East,East,True,family; political legitimacy,high,"Importance of family, low tolerance for diversity, low trust in institutions."
70050179,East,East,True,family; political legitimacy,medium,"Family important, skepticism towards political system, low trust."
250050242,West,East,False,family; political legitimacy,high,Importance on family; low tolerance; high satisfaction with democracy.
826071151,West,West,True,family; political legitimacy; trust,high,Importance of family; low acceptance of diversity; high political satisfaction.
528720115,West,East,False,family; political legitimacy,high,"Importance of family, low tolerance for diversity, high belief in democracy, low support for immigration."
724050841,West,East,False,family; political legitimacy,high,"Family very important, low trust in institutions, skepticism towards political system."
756052971,West,East,False,family; political legitimacy,high,"Low importance on leisure and politics, low tolerance, family obligations, low trust in institutions."
703050413,East,West,False,family; political legitimacy,medium,"Valued family, religious beliefs, moderate political satisfaction, general trust."
703050515,East,West,False,family | political legitimacy | trust,medium,"Family is very important, acceptance of friends, democracy valued, moderate trust in people, limited political action."
705050108,East,East,True,family; trust,medium,"Importance placed on family, limited trust in institutions, low religious attendance."
703050904,East,East,True,family; trust,high,"Importance of family, low political trust, low acceptance of diversity"
528721012,West,West,True,family; political legitimacy,medium,"Family important, moderate political engagement, some tolerance issues."
300721082,West,West,True,family; political legitimacy,medium,"Family important, acceptance of homosexuality, trust in family, democracy valued, religion less important."
826071706,West,East,False,family; political legitimacy,high,"Importance of family, low tolerance for differences, high justifiable behaviors against main topics."
300720907,West,East,False,family; political legitimacy,high,"Family is very important, trust in family, strong religious identity, low support for homosexual couples."
826051703,West,West,True,family; political legitimacy; trust,medium,"Importance on family, low tolerance, confidence in institutions, positive view on democracy."
276720796,West,East,False,family; political legitimacy; religion,high,"High importance on family, low trust in institutions, religious identity present."
703720812,East,East,True,family; political legitimacy; trust,medium,"Importance of family, low trust in institutions, low acceptance of immigrants."
578050447,West,West,True,family; political legitimacy; trust,high,"Importance on family, high democracy support, low tolerance, high trust in family."
826070802,West,East,False,family; political legitimacy,high,"Importance on family, low tolerance for diversity, low political trust."
100051007,East,East,True,family; political legitimacy,medium,"Family important, low political trust, lack of tolerance, moderate democracy belief."
705050157,East,East,True,family; political legitimacy,high,"Importance of family, low tolerance for diversity, low institutional confidence."
807050433,East,West,False,family; political legitimacy,high,"Family important, accepts diverse neighbors, trusts institutions, democratic values."
40051562,West,East,False,religion; family; political legitimacy,high,"Low importance to work, high religion importance, acceptance of diverse groups, traditional family values."
528051310,West,East,False,family; political legitimacy; trust,medium,"High importance on family, low tolerance for diversity, medium trust in people."
250051599,West,East,False,family; trust,high,"Importance of family, low tolerance, low trust in others."
352050154,West,East,False,family; trust,high,"Family important, low tolerance, low trust in institutions."
380051217,West,East,False,religion; family,high,"Importance of family, low tolerance, high religious belief."
246050107,West,West,True,family; trust; political legitimacy,medium,"Importance on family, acceptance of political action, low trust in institutions"
616050332,East,West,False,family; political legitimacy,high,"Family important, political participation, democratic values, low religious practice, acceptance of diversity."
31050266,East,East,True,religion; trust,high,"Low religious attendance, high importance of God, trust in family, low trust in strangers."
250051510,West,West,True,family; trust; political legitimacy,medium,"High importance on family, moderate trust in people, acceptance of autonomy."
804720852,East,East,True,family; political legitimacy; trust,high,"Family important, low tolerance, low political action, high trust in family, beliefs in religion's importance."
756051406,West,East,False,religion; political legitimacy,high,"Importance of religion, skepticism towards political authority, limited tolerance for diversity."
528051314,West,West,True,family | political legitimacy | trust,medium,"Family important, some tolerance for diverse groups, low trust in institutions."
620051196,West,East,False,family; political legitimacy,high,"Importance of family, moderate political participation, moderate tolerance."
268050619,East,East,True,family; political legitimacy,high,"Family important, lower tolerance for diversity, religion less significant."
642050276,East,East,True,family; political legitimacy,high,"Low tolerance, low religious involvement, family duty priorities."
578050424,West,West,True,family; political legitimacy,high,"Importance of family, high political satisfaction, acceptance of homosexuality, high trust in institutions."
826070607,West,East,False,family; political legitimacy; trust,high,"Importance on family, low acceptance of tolerance, high distrust."
616050330,East,East,True,family; political legitimacy,high,"Family important, low tolerance, distrust in institutions, dissatisfaction with political system."
70050453,East,East,True,family; political legitimacy,high,"Importance of family, low tolerance, political actions, trust levels."
752051028,West,East,False,family; political legitimacy,medium,"Family very important, low confidence in political institutions, moderate trust."
826050282,West,East,False,family; political legitimacy,high,"Family important, low tolerance, low trust in institutions, poor political satisfaction."
643721769,East,East,True,family; political legitimacy; trust,high,"Family important, low tolerance, low trust in institutions, skepticism towards democracy."
804050587,East,East,True,family; trust,medium,"High family importance, low trust in institutions."
31051429,East,East,True,family; political legitimacy,medium,"Family important, low trust in institutions, skepticism towards democracy."
70050057,East,East,True,family; political legitimacy,high,"Importance on family, low tolerance, low institutional trust."
100050124,East,West,False,family; political legitimacy,medium,"Importance in family, low trust, support for democracy."
100050281,East,West,False,religion; political legitimacy,high,"High importance on religion, moderate democracy support, institutional confidence."
616051287,East,East,True,family | political legitimacy,high,"Importance on family, low tolerance, trust issues, weak institutional confidence."
51720117,East,West,False,family; political legitimacy; trust,high,"Importance of family, democracy support, high trust levels."
804720389,East,East,True,family; trust; political legitimacy,high,"Family is very important, low acceptance of differences, low trust in institutions, religion is important."
756052929,West,East,False,family; trust; political legitimacy,high,"High family importance, low tolerance, low trust in institutions."
826070686,West,East,False,family; religion,medium,"Importance of family, low religious attendance, limited tolerance."
112051389,East,East,True,family; political legitimacy,high,"Family is very important, low trust, low tolerance."
40050720,West,East,False,family; trust,medium,"Family important, low tolerance, moderate political trust, moderate democracy perception."
703050773,East,East,True,family; trust,high,"Family very important, low trust in institutions, low tolerance."
276051759,West,East,False,family; trust,high,"High importance on family, moderate trust in people, lower political trust, lower religious attendance."
428050012,East,East,True,family; political legitimacy,high,"Importance of family, low political action, low tolerance."
643050384,East,East,True,family; political legitimacy,high,"Importance of family, low tolerance, dissatisfaction with political system."
203720682,East,East,True,religion; family; political legitimacy,medium,"Importance of family, low tolerance for diversity, low institutional trust, moderate beliefs in democracy."
276050847,West,East,False,family; political legitimacy,high,"High importance on family, low tolerance, low trust."
112050769,East,East,True,political legitimacy; family; trust,medium,"Low religious attendance, low trust in institutions, high importance of family values."
804051339,East,East,True,family; political legitimacy,high,"Low importance of religion, low tolerance, views on gender roles."
51720087,East,East,True,family; trust; political legitimacy,high,"Family is important, low tolerance, low political participation, low trust in institutions, high importance of democracy."
208050231,West,East,False,family; trust; political legitimacy,high,"Family important, low trust in strangers, satisfaction with democracy."
51051005,East,East,True,family | political legitimacy | trust,high,"Importance of family, low institutional confidence, low trust in strangers."
208052760,West,East,False,family; political legitimacy; trust,medium,"High importance on family, low tolerance levels, significant skepticism toward political systems."
643720772,East,East,True,family; political legitimacy; trust,medium,"Importance of family, low political action, moderate trust levels."
8050734,East,East,True,family; political legitimacy,high,"Importance on family, low institutional trust, limited democracy perception."
703720348,East,East,True,family; religion,high,"Family is very important, low religious attendance, high democracy importance."
804050716,East,East,True,family; religion; trust,high,"Importance of family, low tolerance, less trust in institutions."
8050595,East,East,True,family; trust,medium,"Strong family importance, low trust in institutions, negative on tolerance."
348051145,East,East,True,religion; family; political legitimacy,high,"Importance of religion, low trust levels, family values emphasized."
380051759,West,East,False,family; political legitimacy,high,"Importance of family, low tolerance, high distrust in institutions."
724051041,West,East,False,family; political legitimacy,high,"Importance in family, low acceptance of tolerance, low trust in political system."
203720465,East,East,True,family; trust,high,"Family highly valued, low trust in institutions, low political satisfaction."
643720680,East,West,False,family; political legitimacy,medium,"Moderate importance to family, low tolerance for diversity, institutional confidence, support for political legitimacy."
276720518,West,East,False,trust; family; political legitimacy,high,Importance of family; low tolerance; moderate political legitimacy; trust in family; immigration viewed positively.
703050528,East,East,True,family; political legitimacy,high,"Family is very important, low tolerance for diversity, low political action."
620050946,West,West,True,family; political legitimacy,high,"Importance of family, high trust, acceptance of homosexuals."
528721763,West,East,False,family; political legitimacy,high,"Importance of family, low trust in institutions, mixed political action."
528720687,West,East,False,family; political legitimacy,high,"Family important, low tolerance, low political trust."
528050231,West,West,True,family; political legitimacy,medium,"Values indicate moderate family importance, lower political trust, acceptance of immigrants, low religious practice."
724051125,West,East,False,family; political legitimacy,high,"Family importance, low trust in institutions, low political participation."
380050515,West,West,True,family; political legitimacy,high,"Important family values, tolerant towards diversity, confidence in institutions."
620050878,West,East,False,family; political legitimacy; trust,high,"Importance on family, low tolerance, lower trust levels."
642720133,East,West,False,family; political legitimacy,high,"Importance on family, acceptance of diverse views, high democracy importance."
642720411,East,East,True,family; trust,high,Family importance; low tolerance; high religious belief; limited immigration acceptance; moderate trust in people.
51051461,East,East,True,family | religion | political legitimacy,high,"High family importance, low political trust, low institutional confidence."
705050965,East,East,True,family; political legitimacy,high,Low importance for leisure; Low trust; Low institutional confidence.
642051385,East,East,True,family; political legitimacy,high,"Family important, low tolerance, high institutional distrust, low political satisfaction."
112050258,East,East,True,religion; family; political legitimacy,high,"Strong religious belief, low trust in institutions, low support for political action."
616051040,East,East,True,religion; family; political legitimacy; trust,high,"High importance on family, low tolerance, high institutional distrust, unclear views on democracy."
528720411,West,East,False,family; trust,high,"Family important, low tolerance, low trust in institutions."
380052047,West,West,True,family; political legitimacy,high,"Family and friends important, high trust, supportive of democracy."
705050623,East,West,False,family; political legitimacy; trust,high,"Importance of family, low tolerance for diversity, high trust in family."
380051467,West,East,False,family; political legitimacy,high,"Family important, low tolerance, political dissatisfaction, moderate political action."
643720936,East,East,True,family; political legitimacy,medium,"Importance of family, low political action, mixed child qualities."
