uniqid,model,actual,predicted,correct,domain,confidence,reasoning
705050330,llama-3.3-70b-versatile,East,West,False,family; political legitimacy,medium,"values family, supports democracy, tolerates homosexuals"
70050179,llama-3.3-70b-versatile,East,West,False,family; trust,medium,"family important, trusts people, tolerates homosexuality"
250050242,llama-3.3-70b-versatile,West,East,False,family; political legitimacy,medium,"low tolerance, traditional family values, limited political action"
826071151,llama-3.3-70b-versatile,West,West,True,family; trust,medium,"values family, tolerates homosexuals, trusts people"
528720115,llama-3.3-70b-versatile,West,West,True,family; political legitimacy,high,"values family, supports democracy, trusts institutions"
724050841,llama-3.3-70b-versatile,West,West,True,family; political legitimacy,high,"values family, supports democracy, trusts institutions"
756052971,llama-3.3-70b-versatile,West,West,True,family; political legitimacy,medium,"values family, supports democracy, trusts institutions"
703050413,llama-3.3-70b-versatile,East,West,False,family; trust,medium,"family important, trusts people, tolerates homosexuals"
703050515,llama-3.3-70b-versatile,East,West,False,family; trust,medium,"family important, trusts people, tolerates homosexuals"
705050108,llama-3.3-70b-versatile,East,West,False,family; trust,medium,"values family, tolerates homosexuals, trusts people"
703050904,llama-3.3-70b-versatile,East,West,False,family; trust,medium,"family important, trusts people, tolerates homosexuals"
528721012,llama-3.3-70b-versatile,West,West,True,family; trust,medium,"family important, trusts people, tolerates homosexuals"
300721082,llama-3.3-70b-versatile,West,West,True,family; trust,medium,"values family, tolerates homosexuals, trusts people"
826071706,llama-3.3-70b-versatile,West,West,True,family; trust,medium,"family important, trusts people, tolerates homosexuals"
300720907,llama-3.3-70b-versatile,West,West,True,family; political legitimacy,medium,"values family, tolerates, trusts institutions, prioritizes democracy"
826051703,llama-3.3-70b-versatile,West,West,True,family; trust,medium,"high family importance, traditional child qualities, low tolerance for immigrants"
276720796,llama-3.3-70b-versatile,West,West,True,family; trust,medium,"family important, trusts people, tolerates homosexuals"
703720812,llama-3.3-70b-versatile,East,West,False,family; trust,medium,"family important, trusts people, tolerates homosexuals"
578050447,llama-3.3-70b-versatile,West,West,True,family; trust,high,"values family, trusts people, supports gender equality"
826070802,llama-3.3-70b-versatile,West,West,True,family; trust,medium,"values family, tolerates homosexuals, trusts people"
100051007,llama-3.3-70b-versatile,East,West,False,family; trust,medium,"values family, trusts people, tolerates homosexuals"
705050157,llama-3.3-70b-versatile,East,West,False,family; trust,high,"values family, tolerates homosexuals, trusts people"
807050433,llama-3.3-70b-versatile,East,West,False,family; trust,medium,"family important, trusts people, tolerates homosexuals"
40051562,llama-3.3-70b-versatile,West,West,True,family; political legitimacy,medium,"values family, supports democracy, trusts institutions"
528051310,llama-3.3-70b-versatile,West,West,True,family; trust,medium,"high family importance, traditional child qualities, low immigration impact"
250051599,llama-3.3-70b-versatile,West,East,False,family; political legitimacy,medium,"traditional family values, low tolerance, strong institutional confidence"
352050154,llama-3.3-70b-versatile,West,West,True,family; trust,medium,"family important, trusts people, tolerates homosexuals"
380051217,llama-3.3-70b-versatile,West,West,True,family; trust,medium,"family important, trusts people, tolerates some behaviors"
246050107,llama-3.3-70b-versatile,West,West,True,family; political legitimacy,medium,"values family, supports democracy, tolerates homosexuality"
616050332,llama-3.3-70b-versatile,East,West,False,family; trust,medium,"family important, tolerance for homosexuals, low confidence in institutions"
31050266,llama-3.3-70b-versatile,East,West,False,family; trust,medium,"family important, tolerance high, institutional confidence high"
250051510,llama-3.3-70b-versatile,West,West,True,family; trust,medium,"values family, tolerates homosexuals, trusts people"
804720852,llama-3.3-70b-versatile,East,West,False,family; trust,medium,"high family importance, low tolerance, strong institutional distrust"
756051406,llama-3.3-70b-versatile,West,West,True,family; trust,medium,"high democracy perception, medium institutional confidence, low tolerance for immigrants"
528051314,llama-3.3-70b-versatile,West,West,True,family; trust,medium,"family important, trusts people, tolerates homosexuals"
620051196,llama-3.3-70b-versatile,West,West,True,family; political legitimacy,medium,"values family, tolerates homosexuals, trusts institutions"
268050619,llama-3.3-70b-versatile,East,West,False,family; trust,medium,"family important, trusts family, low tolerance for immigrants"
642050276,llama-3.3-70b-versatile,East,West,False,family; political legitimacy,medium,"values family, tolerates immigrants, trusts institutions"
578050424,llama-3.3-70b-versatile,West,West,True,family; trust,high,"high institutional confidence, strong family values, high trust in people"
826070607,llama-3.3-70b-versatile,West,West,True,family; trust,medium,"family important, trusts people, tolerates homosexuality"
616050330,llama-3.3-70b-versatile,East,West,False,family; trust,medium,"high family importance, moderate tolerance, low political action"
70050453,llama-3.3-70b-versatile,East,West,False,family; trust,medium,"family important, trusts people, tolerates homosexuals"
752051028,llama-3.3-70b-versatile,West,West,True,family; trust,medium,"family important, trusts people, tolerates homosexuals"
826050282,llama-3.3-70b-versatile,West,West,True,family; trust,medium,"high family importance, tolerant social views, low trust in institutions"
643721769,llama-3.3-70b-versatile,East,West,False,family; trust,medium,"family important, trusts people, tolerates homosexuals"
804050587,llama-3.3-70b-versatile,East,West,False,family; trust,medium,"values family, tolerates, trusts people, supports democracy"
31051429,llama-3.3-70b-versatile,East,West,False,family; trust,medium,"family important, trusts people, tolerates homosexuals"
70050057,llama-3.3-70b-versatile,East,West,False,family; trust,medium,"family important, trusts people, tolerates homosexuals"
100050124,llama-3.3-70b-versatile,East,West,False,family; political legitimacy,medium,"values family, prioritizes freedom of speech, trusts people"
100050281,llama-3.3-70b-versatile,East,West,False,family; trust,medium,"high family importance, moderate tolerance, medium trust"
616051287,llama-3.3-70b-versatile,East,West,False,family; trust,medium,"family important, tolerance high, institutional confidence varied"
51720117,llama-3.3-70b-versatile,East,West,False,family; political legitimacy,high,"values family, supports democracy, trusts institutions"
804720389,llama-3.3-70b-versatile,East,West,False,family; trust,medium,"family important, trusts people, tolerates immigrants"
756052929,llama-3.3-70b-versatile,West,West,True,family; political legitimacy,medium,"values family, tolerates homosexuality, trusts institutions"
826070686,llama-3.3-70b-versatile,West,West,True,family; trust,medium,"family important, trusts people, tolerates immigrants"
