uniqid,actual,predicted,reasoning,correct
705050330,East,West,"West — the strong support for abortion, divorce and especially euthanasia, combined with relatively low importance of religion and only moderate moral traditionalism, fits the value profile more typical of Western than Eastern Europe.",False
70050179,East,West,"West — strong rejection of corruption, tax cheating, political violence and the death penalty, combined with high emphasis on friends, work and tolerance, fits the West European value pattern more than the typically more authoritarian and death‑penalty‑tolerant profile found in much of Eastern Europe.",False
250050242,West,West,West — very high acceptance of homosexuality and euthanasia combined with moderate permissiveness on abortion/divorce and relatively low religious importance matches typical Western European value patterns more than Eastern ones.,True
826071151,West,West,"West — strong approval of homosexuality, abortion, divorce and euthanasia alongside low religious centrality and high importance of friends and independence fits the typical liberal, secular value profile more common in Western than Eastern Europe.",True
528720115,West,West,"West — the combination of very liberal stances on sexuality, abortion, euthanasia and death penalty, together with low support for prioritizing nationals over immigrants, is much more characteristic of Western than Eastern European value profiles, especially for someone of this older age.",True
724050841,West,West,"West — the strong secularism, high acceptance of euthanasia, divorce and casual sex, and rejection of the death penalty align much more with contemporary Western European value patterns than with typical Eastern European ones.",True
756052971,West,West,"West — the very high acceptance of homosexuality, abortion and euthanasia combined with relatively weak importance of religion strongly matches Western rather than Eastern European value patterns.",True
703050413,East,West,"West — the very liberal attitudes on homosexuality, divorce and casual sex combined with relatively low importance of religion and rejection of the death penalty align much more strongly with typical Western European value profiles than with Eastern European ones.",False
703050515,East,West,"West — relatively liberal views on homosexuality, prostitution, abortion, and divorce combined with only moderate religiosity and strong emphasis on individual responsibility and independence fit the value pattern more typical of Western Europe than Eastern Europe.",False
705050108,East,East,"East — strongly pro–death penalty, very high approval of abortion/divorce/euthanasia, low religiosity but high emphasis on obedience and thrift in children together form a value mix more typical of post-communist Eastern Europe than Western Europe.",True
703050904,East,East,"East — strong religiosity combined with very restrictive views on homosexuality, abortion, euthanasia and casual sex, plus support for giving job priority to nationals, fits the more traditional, security‑oriented value pattern typical of Eastern Europe among this age group.",True
528721012,West,West,"West — very low importance of religion combined with high acceptance of homosexuality, abortion, divorce, euthanasia and casual sex is strongly characteristic of secular, liberal Western European value patterns.",True
300721082,West,West,"West — relatively high acceptance of homosexuality, divorce, abortion and casual sex combined with opposition to the death penalty and political violence is more typical of Western European value profiles among young adults.",True
826071706,West,West,"West — the combination of very low importance of religion, very high acceptance of homosexuality/abortion/divorce/euthanasia/casual sex, and rejecting job priority for nationals aligns much more with typical Western European than Eastern European value patterns.",True
300720907,West,West,"West — strong religiosity combined with emphasis on hard work, independence and responsibility but highly permissive views on casual sex and relatively tolerant stance on divorce align more with value patterns typical of Western than Eastern Europe.",True
826051703,West,West,"West — despite strong religious and moral conservatism, the combination of relatively moderate stance on immigration (strongly rejecting strict job priority) and middling acceptance of divorce and euthanasia aligns more with Western than typical Eastern European value patterns.",True
276720796,West,East,"East — the strong traditional religiosity combined with absolute moral rejection of homosexuality, abortion, divorce, euthanasia, and casual sex aligns more closely with prevailing value patterns in Eastern than in Western Europe.",False
703720812,East,East,"East — the unusually high acceptance of corruption (benefit fraud, tax cheating, bribe-taking) alongside relatively traditional emphases on good manners, hard work and religion is more characteristic of value patterns found among older cohorts in Eastern Europe than in Western Europe.",True
578050447,West,West,"West — the very high acceptance of homosexuality, abortion, divorce and casual sex combined with rejection of the death penalty and political violence is far more typical of secular, liberal Western European value patterns than of Eastern Europe.",True
826070802,West,West,"West — consistently high importance of politics and friends, relatively moderate views on immigration, and low support for death penalty and abortion fit the value pattern more typical of Western than Eastern Europe.",True
100051007,East,West,"West — strong support for abortion/divorce/euthanasia combined with “never justifiable” views on corruption and death penalty, plus relatively low emphasis on religious faith in child-rearing, aligns more closely with Western European value patterns.",False
705050157,East,West,"West — very liberal views on homosexuality, abortion and divorce combined with low importance of religion and politics align more with typical Western European value patterns than with Eastern ones.",False
807050433,East,East,"East — the mix of strong traditionalism (low importance of politics, strict rejection of petty dishonesty, casual sex and prostitution, high value on obedience and thrift) with only moderate acceptance of homosexuality/abortion/euthanasia and support for death penalty aligns more with typical Eastern European value profiles than Western ones.",True
40051562,West,East,"East — the combination of very high religiosity, strong emphasis on obedience and traditional child qualities, rejection of homosexuality and prostitution, and strong support for giving nationals priority in jobs is more typical of Eastern than Western European value profiles.",False
528051310,West,East,East — the combination of very high importance of religion and obedience plus relatively high acceptance of death penalty and political violence aligns more with prevailing value patterns in Eastern than Western Europe.,False
250051599,West,East,"East — the combination of strong religious importance, emphasis on obedience and traditional child qualities, and absolute rejection of homosexuality, abortion, divorce, and euthanasia aligns more closely with typical Eastern European value patterns than with generally more liberal Western ones.",False
352050154,West,West,"West — the very strong acceptance of homosexuality and divorce, combined with only moderate importance of religion and rejection of the death penalty, matches typical Western rather than Eastern European value profiles.",True
380051217,West,West,"West — strong rejection of benefit fraud, tax cheating and bribery combined with relatively moderate acceptance of homosexuality and divorce aligns more closely with typical Western European value profiles than with Eastern European ones.",True
246050107,West,West,"West — strongly liberal attitudes on homosexuality, abortion, divorce and euthanasia combined with rejection of the death penalty and bribe-taking align much more with Western than Eastern European value patterns.",True
616050332,East,West,"West — very liberal views on homosexuality, abortion, divorce and euthanasia combined with low importance of religion align much more strongly with typical Western European value patterns than with Eastern European ones.",False
31050266,East,East,"East — the strong traditionalism (never justifiable for homosexuality, abortion, divorce, euthanasia, etc.), high religiosity, obedience-oriented childrearing, and strong preference for nationals over immigrants align much more with typical Eastern European value patterns than Western ones.",True
250051510,West,West,"West — the very high acceptance of homosexuality and liberal sexual norms combined with only moderate religiosity and relatively neutral views on immigrant job priority matches typical Western, not Eastern, European value patterns.",True
804720852,East,East,"East — the combination of strong emphasis on religious faith, obedience and thrift in childrearing plus absolute rejection of homosexuality, abortion and divorce aligns more with traditional, socially conservative value patterns typical of Eastern Europe.",True
756051406,West,West,West — relatively high acceptance of homosexuality and strong rejection of giving job priority to nationals over immigrants align more with typical Western than Eastern European value patterns.,True
528051314,West,West,"West — the strong liberal stance on homosexuality, abortion, euthanasia and rejection of death penalty, combined with low salience of religion and no preference for nationals over immigrants when jobs are scarce, aligns much more with Western than Eastern European value profiles.",True
620051196,West,West,"West — relatively low importance of religion combined with high acceptance of divorce, euthanasia, casual sex and moderate acceptance of homosexuality fits the more secular-liberal value pattern typical of Western Europe.",True
268050619,East,East,East — strongly traditional moral views combined with very high importance of religion and restrictive attitudes on homosexuality and abortion are more characteristic of Eastern than Western European value profiles.,True
642050276,East,East,"East — the strong moral conservatism (homosexuality, abortion, prostitution, etc. “never justifiable”) combined with relatively high importance of religion and traditional child qualities (good manners, thrift, hard work, obedience/faith not prioritized) aligns more with prevailing Eastern European value patterns than Western ones.",True
578050424,West,West,"West — the very high acceptance of homosexuality and divorce, relatively low importance of religion, and only neutral preference for nationals over immigrants align much more with typical Western than Eastern European value patterns.",True
826070607,West,West,"West — the combination of strong support for homosexuality, divorce and euthanasia alongside relatively low religiosity and only moderate welfare/immigration chauvinism matches value patterns far more typical of Western than Eastern Europe.",True
616050330,East,West,"West — the very high acceptance of abortion, divorce, euthanasia and casual sex, combined with relatively low emphasis on religion as “very important,” aligns much more with Western than Eastern European value patterns for this older cohort.",False
70050453,East,East,"East — the mix of strong law‑and‑order views (never justifiable to cheat, very high support for the death penalty) with low tolerance for homosexuality and casual sex but high acceptance of euthanasia and moderate acceptance of abortion/divorce is more typical of value patterns found in Eastern Europe.",True
752051028,West,West,"West — very liberal views on homosexuality, abortion, divorce, euthanasia and casual sex, combined with low importance of religion and rejecting job priority for nationals, align much more with typical Western European value patterns.",True
826050282,West,West,West — very low tolerance for corruption and fare-dodging combined with relatively moderate views on divorce/euthanasia and only neutral preference for nationals over immigrants fits a more typical Western than Eastern European value profile.,True
643721769,East,West,"West — the combination of relatively low religiosity, rejection of welfare cheating and corruption alongside permissive views on casual sex and only moderate opposition to abortion and divorce aligns more with typical Western than Eastern European value profiles.",False
804050587,East,East,"East — the combination of strong support for death penalty, rejection of homosexuality and casual sex, ethnic‑national job preference, yet permissive views on abortion and divorce aligns more closely with prevalent value patterns in Eastern than Western Europe.",True
31051429,East,East,"East — the strongly traditional moral views (especially total rejection of homosexuality and very low acceptance of abortion, divorce, euthanasia and suicide) combined with nationalist job preferences align more with typical Eastern European value patterns than Western ones.",True
70050057,East,East,"East — the mix of very traditional views on homosexuality/prostitution, strong support for the death penalty and obedience, together with relatively high religiosity and strong welfare chauvinism, aligns more closely with prevailing Eastern European value patterns than Western ones.",True
100050124,East,East,East — the strong rejection of homosexuality combined with relatively moderate acceptance of practices like tax cheating and bribe-taking aligns more with prevailing value patterns in Eastern than Western Europe.,True
100050281,East,East,"East — the combination of high importance of religion, strong acceptance of political violence and the death penalty, and relatively tolerant views on corruption and rule‑breaking aligns more with value patterns typical of Eastern Europe in EVS data.",True
616051287,East,East,"East — strong traditional moral views on sexuality and family, high importance of work and religion, strict rejection of corruption and fare/tax evasion, and agreement with prioritizing nationals in scarce jobs together form a value pattern more typical of Eastern Europe in EVS data.",True
51720117,East,East,"East — the combination of strong religiosity, very strict moral traditionalism (rating almost all contentious behaviors as “never justifiable”), and support for giving job priority to nationals over immigrants is more characteristic of value patterns found in Eastern Europe.",True
804720389,East,West,West — the strong rejection of corruption and welfare abuse combined with maximal acceptance of casual sex and otherwise very strict stances on morality aligns more with the liberal–individualist value patterns characteristic of Western Europe.,False
756052929,West,West,"West — very liberal views on sexuality, abortion, euthanasia, and strong rejection of the death penalty combined with low importance of religion are far more typical of Western than Eastern European value profiles.",True
826070686,West,West,"West — the very high acceptance of homosexuality, casual sex, divorce and euthanasia combined with relatively low religious importance and strong rejection of petty corruption matches typical Western European, not Eastern European, value patterns.",True
112051389,East,East,"East — the mix of strong support for death penalty and job priority for nationals, low tolerance of homosexuality, and relatively low importance of religion but high value on work and thrift aligns more with prevalent post‑communist Eastern European value patterns than with typical Western European ones.",True
40050720,West,West,"West — relatively high acceptance of abortion, divorce, euthanasia and casual sex, combined with rejection of the death penalty and political violence, aligns more with liberal, secular Western European value patterns.",True
703050773,East,East,"East — strong emphasis on traditional family morality (homosexuality, prostitution, casual sex “never justifiable”), combined with authoritarian-leaning views (job priority for nationals, acceptance of death penalty and some corruption) fits the value pattern more typical of Eastern than Western Europe.",True
276051759,West,West,"West — the combination of low religiosity, strong emphasis on individual autonomy (e.g., very high acceptance of divorce and euthanasia, moderate acceptance of homosexuality), and only moderate anti-immigrant sentiment is more typical of Western than Eastern European value profiles.",True
428050012,East,West,"West — the combination of low importance of religion, disapproval of welfare/tax cheating and bribery, relative openness to homosexuality/abortion/divorce, strong support for euthanasia, and rejection of anti-immigrant job priority aligns more with contemporary Western European value patterns.",False
643050384,East,East,"East — relatively secular but still family- and work-oriented, with moderate acceptance of abortion/divorce and low trust in taxes/transport norms, better matches post-socialist Eastern European value patterns than typical Western ones.",True
203720682,East,West,"West — the very high acceptance of homosexuality, divorce, euthanasia and casual sex, combined with low salience of religion and politics, fits the liberal–secular value profile much more typical of Western than Eastern Europe.",False
276050847,West,West,"West — extremely liberal attitudes on sexuality, family, euthanasia and suicide combined with very low importance of religion and rejection of the death penalty align much more with Western than Eastern European value patterns.",True
112050769,East,West,"West — the mix of moderate acceptance of homosexuality, abortion and euthanasia together with relatively tolerant views on casual sex and only middling rejection of corruption aligns more with average Western than Eastern European value profiles.",False
804051339,East,East,"East — very low acceptance of homosexuality, abortion, divorce, euthanasia and suicide combined with strong support for giving job priority to nationals fits the more traditional, socially conservative value profile typical of Eastern Europe.",True
51720087,East,East,"East — the combination of very high importance of religion, strong moral conservatism (homosexuality, abortion, euthanasia, etc. “never justifiable”), emphasis on obedience and religious faith in children, and strong preference for nationals over immigrants aligns much more with prevailing value patterns in Eastern than Western Europe.",True
208050231,West,West,"West — the combination of very low importance of religion with maximum acceptance of homosexuality, abortion, euthanasia, divorce, and casual sex is strongly characteristic of secular, liberal value profiles far more prevalent in Western than in Eastern Europe.",True
51051005,East,West,"West — the unusual combination of secular permissiveness (euthanasia, casual sex, suicide often justifiable) with relatively low importance of work and politics aligns more with post‑materialist, individual‐liberal value patterns common in Western Europe.",False
208052760,West,West,"West — high acceptance of abortion, divorce, euthanasia and moderate acceptance of homosexuality combined with strong emphasis on child independence and tolerance aligns more with Western than Eastern European value profiles, especially for an older cohort.",True
