uniqid,model,actual,predicted,correct,domain,confidence,reasoning
705050330,gpt-5.1,East,East,True,religion;authority and autonomy,medium,"Non-practicing but religious, strong family focus, low institutional trust, skeptical on immigration, egalitarian democracy norms"
70050179,gpt-5.1,East,East,True,religion;authority and autonomy,medium,"Religious, traditional family duty, low political participation, low institutional trust, supports expert rule"
250050242,gpt-5.1,West,East,False,authority and autonomy;trust,medium,"low neighbour tolerance, low immigration support, strong income equality support, low protest participation, moderate religiosity"
826071151,gpt-5.1,West,West,True,religion;authority and autonomy,medium,"secular identity, tolerant of homosexuality, supports democracy, opposes political violence, moderate institutional trust, gender-egalitarian views"
528720115,gpt-5.1,West,West,True,authority and autonomy;political legitimacy,medium,"strong support for democracy, high civil rights importance, secular, tolerant of homosexuality, supports immigration"
724050841,gpt-5.1,West,West,True,authority and autonomy;political legitimacy,medium,"Supports free elections, civil rights, gender equality, low church confidence, tolerant to immigrants, protests"
756052971,gpt-5.1,West,West,True,religion;authority and autonomy,medium,"Secular beliefs, tolerant of homosexuality, supports democracy, moderate institutional trust, accepts political participation, Western-style gender views"
703050413,gpt-5.1,East,West,False,authority and autonomy;family,low,"supports homosexual parenting, high divorce acceptance, moderate gender equality, democracy importance high, religion low"
703050515,gpt-5.1,East,East,True,religion;authority and autonomy,medium,"Religious, traditional on family roles, low tolerance for homosexuality, supports order, skeptical about elections"
705050108,gpt-5.1,East,West,False,authority and autonomy;political legitimacy,medium,"supports democracy, supports free elections, low church attendance, atheist, tolerant of homosexuality, supports abortion"
703050904,gpt-5.1,East,East,True,religion;family,high,"frequent religious practice, strong belief in God, traditional child qualities, low tolerance homosexuality, older cohort"
528721012,gpt-5.1,West,West,True,religion;authority and autonomy,medium,"nonreligious identity, low attendance, tolerant of homosexuality, supports abortion, divorce, euthanasia, moderate authority attitudes"
300721082,gpt-5.1,West,East,False,religion;authority and autonomy,medium,"religious identity with high God importance, low tolerance for homosexuality, strong order, limited protest orientation"
826071706,gpt-5.1,West,West,True,religion;authority and autonomy,medium,"atheist identity, never attends services, homosexuality fully justified, supports free elections, opposes religious law"
300720907,gpt-5.1,West,East,False,religion;family,medium,"Weekly religious, God central, traditional gender roles, low immigration support, order priority, low protest participation"
826051703,gpt-5.1,West,East,False,religion;family,high,"high religious belief, traditional child obedience, low tolerance homosexuality, democracy valued, limited protest engagement"
276720796,gpt-5.1,West,East,False,religion;authority and autonomy,medium,"highly religious, traditional morality, low tolerance homosexuality, supports redistribution, skeptical immigration, moderate institutional trust"
703720812,gpt-5.1,East,East,True,religion;authority and autonomy,medium,"religious believer, low attendance, traditional child qualities, low protest activity, moderate democracy support"
578050447,gpt-5.1,West,West,True,religion;authority and autonomy,medium,"secular, tolerant of homosexuality, supports free elections, opposes strong leader, high democratic importance"
826070802,gpt-5.1,West,East,False,religion;authority and autonomy,medium,"Religious, traditional child obedience, low tolerance homosexuality, supports strong leader, skeptical elections, moderate protest readiness"
100051007,gpt-5.1,East,East,True,family;authority and autonomy,medium,"Strong duty to have children, traditional child qualities, low political action, moderate democracy support"
705050157,gpt-5.1,East,West,False,religion;authority and autonomy,medium,"Atheist, God unimportant, supports homosexuality and abortion, high democracy support, low political participation"
807050433,gpt-5.1,East,West,False,authority and autonomy;political legitimacy,medium,"supports democracy, supports income equality, tolerant of homosexuality, positive immigration view, low institutional trust"
40051562,gpt-5.1,West,East,False,religion;authority and autonomy,high,"highly religious, opposes homosexuality, supports death penalty, low protest potential, skeptical about immigration"
528051310,gpt-5.1,West,East,False,religion;family,medium,"weekly church attendance, God central, traditional child obedience, low minority tolerance, negative immigration attitude"
250051599,gpt-5.1,West,East,False,religion;family,high,"strong religious belief, traditional child qualities, low tolerance minorities, order priority, limited political participation"
352050154,gpt-5.1,West,West,True,religion;authority and autonomy,medium,"Nonreligious identity, high homosexuality acceptance, supports democracy, moderate order priority, moderate immigration, gender-egalitarian views"
380051217,gpt-5.1,West,East,False,religion;family,high,"weekly religious attendance, strong belief in God, low tolerance minorities, traditional child obedience, order-focused politics"
246050107,gpt-5.1,West,West,True,authority and autonomy;religion,medium,"secular, liberal on sexuality and abortion, supports protests, prioritizes elections, moderate institutional trust"
616050332,gpt-5.1,East,West,False,religion;authority and autonomy,medium,"Atheist, low church confidence, high tolerance homosexuality, supports free elections, democracy important, young male"
31050266,gpt-5.1,East,East,True,religion;authority and autonomy,medium,"strong religious belief, strict moral views, low political action, traditional gender concerns, order-focused politics"
250051510,gpt-5.1,West,West,True,authority and autonomy;political legitimacy,medium,"supports free elections, supports civil rights, tolerant of homosexuality, low church attendance, democratic importance high"
804720852,gpt-5.1,East,East,True,religion;authority and autonomy,high,"strong religious belief, traditional morality, low protest potential, low institutional trust, order prioritized"
756051406,gpt-5.1,West,West,True,religion;authority and autonomy,medium,"Religious, tolerant of homosexuality, supports free elections, democratic, moderate on equality, accepts immigration"
528051314,gpt-5.1,West,West,True,religion;authority and autonomy,medium,"secular identity, tolerant of homosexuality, supports abortion and euthanasia, moderate institutional trust, democratic importance"
