uniqid,model,actual,predicted,correct,domain,confidence,reasoning
705050330,glm-5,East,West,False,political legitimacy; family,high,"Supports free elections, civil rights, accepts abortion, divorce, euthanasia, low institutional confidence."
70050179,glm-5,East,East,True,political legitimacy; trust,high,"Prefers strong leader, experts, low institutional confidence, high social trust, unemployed."
250050242,glm-5,West,West,True,trust; authority and autonomy,high,"High tolerance for homosexuality, divorce, euthanasia. Low trust in strangers. Rejects religious authority."
826071151,glm-5,West,West,True,trust; authority and autonomy,high,"High tolerance for homosexuality, abortion, euthanasia. Low trust in strangers. Rejects obedience."
528720115,glm-5,West,West,True,trust; authority and autonomy,high,"High general trust, rejects obedience, strong democratic values, permissive on social issues."
724050841,glm-5,West,East,False,political legitimacy; trust,high,"Prefers strong leader, experts, low tolerance for homosexuals, immigrants, drug addicts."
756052971,glm-5,West,West,True,trust; authority and autonomy,high,"High general trust, accepts homosexuality, supports gender equality, low obedience preference."
703050413,glm-5,East,West,False,trust; authority and autonomy,high,"High general trust, accepts homosexuality, values freedom of speech, rejects obedience."
703050515,glm-5,East,West,False,trust; family,high,"High trust in strangers, accepts homosexuality and abortion, low obedience value, supports gender equality."
705050108,glm-5,East,West,False,political legitimacy; authority and autonomy,high,"Low political satisfaction, rejects strong leader, high tolerance, supports abortion and euthanasia."
703050904,glm-5,East,East,True,political legitimacy; authority and autonomy,high,"Supports strong leader, experts governing, low tolerance for immigrants, rejects homosexuality."
528721012,glm-5,West,West,True,trust; authority and autonomy,high,"Low general trust, high tolerance for homosexuality, abortion, divorce, low religious importance."
300721082,glm-5,West,West,True,trust; authority and autonomy,high,"High democracy importance, low institutional confidence, low tolerance, low general trust."
826071706,glm-5,West,West,True,trust; family,high,"High general trust, accepts homosexuality, abortion, euthanasia, rejects army takeover."
300720907,glm-5,West,East,False,family; political legitimacy,high,"Traditional gender views, strong leader preference, low political participation, high God importance."
826051703,glm-5,West,East,False,trust; authority and autonomy,high,"Low social trust, accepts obedience, rejects homosexuality, high God importance."
276720796,glm-5,West,East,False,family; authority and autonomy,high,"Rejects all justifiable behaviors, intolerant of minorities, traditional gender values, low trust."
703720812,glm-5,East,West,False,trust; political legitimacy,high,"High social trust, accepts homosexuals, low political participation, tolerant of justifiable behaviors."
578050447,glm-5,West,West,True,trust; authority and autonomy,high,"High general trust, supports homosexual parents, accepts homosexuality, values free elections."
826070802,glm-5,West,East,False,trust; family,high,"Low tolerance, traditional gender views, high trust, religious faith valued."
100051007,glm-5,East,West,False,trust; authority and autonomy,high,"High general trust, accepts homosexuality, supports strong leader, low institutional confidence."
705050157,glm-5,East,West,False,trust; authority and autonomy,high,"High general trust, low religious attendance, atheist identity, accepts homosexuality and abortion."
807050433,glm-5,East,East,True,political legitimacy; trust,high,"Low political satisfaction, low institutional trust, prefers strong leader, low tolerance."
40051562,glm-5,West,West,True,family; authority and autonomy,high,"Rejects traditional gender roles, high tolerance, supports death penalty, low general trust."
528051310,glm-5,West,West,True,trust; authority and autonomy,medium,"High general trust, accepts homosexuals, rejects heavy drinkers, low obedience value."
250051599,glm-5,West,East,False,family; authority and autonomy,high,"Rejects all tolerance, traditional gender views, strict moral absolutism, religious, low trust."
