uniqid,model,actual,predicted,correct,domain,confidence,reasoning
705050330,llama-3.3-70b-versatile,East,West,False,family; trust,medium,"low church attendance, high family importance, moderate trust"
70050179,llama-3.3-70b-versatile,East,West,False,religion; family,medium,"High family importance, moderate religion attendance, low institutional confidence"
250050242,llama-3.3-70b-versatile,West,East,False,religion; family,medium,"Low church attendance, traditional family values, low tolerance"
826071151,llama-3.3-70b-versatile,West,West,True,religion; family,medium,"attends church rarely, trusts family, prioritizes family"
528720115,llama-3.3-70b-versatile,West,West,True,family; trust,medium,"high democracy, gender equality, low tolerance for authority interference"
724050841,llama-3.3-70b-versatile,West,West,True,trust; family,medium,"high trust, family importance, low religion attendance"
756052971,llama-3.3-70b-versatile,West,West,True,religion; family,medium,"attends church, values family, trusts institutions, tolerates less"
703050413,llama-3.3-70b-versatile,East,West,False,family; trust,medium,"family important, trusts people, tolerates homosexuals"
703050515,llama-3.3-70b-versatile,East,West,False,religion; family,medium,"attends church, believes in God, heaven, hell, importance of God in life is 8."
705050108,llama-3.3-70b-versatile,East,West,False,family; trust,medium,"family important, trusts people, tolerates homosexuals"
703050904,llama-3.3-70b-versatile,East,West,False,religion; family,medium,"High church confidence, traditional family values, strong religious identity"
528721012,llama-3.3-70b-versatile,West,West,True,family; trust,medium,"values family, tolerates homosexuals, trusts people, supports democracy"
300721082,llama-3.3-70b-versatile,West,West,True,religion; family,medium,"attends church, believes in God, values family"
826071706,llama-3.3-70b-versatile,West,West,True,family; trust,medium,"family important, trusts people, tolerates homosexuals"
300720907,llama-3.3-70b-versatile,West,West,True,religion; family,high,"High church confidence, traditional family values, strong religious identity"
826051703,llama-3.3-70b-versatile,West,West,True,religion; family,medium,"High family importance, traditional child qualities, low tolerance for immigrants."
276720796,llama-3.3-70b-versatile,West,West,True,religion; family,medium,"High family importance, strong religious identity, low tolerance for immigrants"
703720812,llama-3.3-70b-versatile,East,West,False,religion; family,medium,"attends church, traditional family values, trusts institutions"
578050447,llama-3.3-70b-versatile,West,West,True,religion; family,medium,"high democracy, gender equality, individual freedom"
826070802,llama-3.3-70b-versatile,West,West,True,religion; family,medium,"attends church, believes in God, heaven, importance of God in life is 10, traditional family values"
100051007,llama-3.3-70b-versatile,East,West,False,religion; family,medium,"low church attendance, low religious identity, low trust in institutions"
705050157,llama-3.3-70b-versatile,East,West,False,family; trust,medium,"high family importance, moderate trust, low religion importance"
807050433,llama-3.3-70b-versatile,East,West,False,family; trust,medium,"values family, tolerates homosexuals, trusts people"
40051562,llama-3.3-70b-versatile,West,West,True,religion; family,medium,"High church confidence, traditional family values, strong religious identity"
528051310,llama-3.3-70b-versatile,West,West,True,religion; family,medium,"attends church, believes in God, heaven, hell, importance of God in life is 10, traditional family values"
250051599,llama-3.3-70b-versatile,West,East,False,religion; family,medium,"High religion importance, traditional family values, low tolerance"
352050154,llama-3.3-70b-versatile,West,West,True,family; trust,medium,"high family importance, moderate trust, low religious attendance"
380051217,llama-3.3-70b-versatile,West,West,True,religion; family,high,"High church confidence, traditional family values, strong religious identity"
246050107,llama-3.3-70b-versatile,West,West,True,family; trust,medium,"values family, tolerates homosexuals, trusts people, supports democracy"
616050332,llama-3.3-70b-versatile,East,West,False,family; trust,medium,"low religion importance, high tolerance, democratic values"
31050266,llama-3.3-70b-versatile,East,West,False,religion; family,medium,"attends church, importance of God, traditional family values"
