uniqid,actual,predicted,correct,domain,confidence,reasoning
705050330,East,East,True,religion;authority and autonomy,medium,"secular yet high God importance, strong parental duty, low political satisfaction, moderate LGBT acceptance, distrust immigrants, supports protests"
70050179,East,East,True,religion;authority and autonomy,medium,"religious, low church confidence, low political participation, strong welfare support, strong civil rights support, moderate gender egalitarianism"
250050242,West,East,False,religion;authority and autonomy,high,"low religious practice but belief in God, low tolerance homosexuality, low immigration support, high equality, moderate institutional trust"
826071151,West,West,True,religion;authority and autonomy,low,"secular identity, infrequent attendance, high homosexuality acceptance, democratic support, political participation, middling institutional trust"
528720115,West,West,True,religion;authority and autonomy,medium,"atheist, strong freedom of speech and elections, tolerant of homosexuality and prostitution, critical of authority, supports equal rights"
724050841,West,West,True,religion;authority and autonomy,medium,"secular, liberal about euthanasia and divorce, supports free elections and civil rights, tolerant immigration, rejects traditional gender authority norms"
756052971,West,West,True,religion;authority and autonomy,medium,"tolerant of homosexuality, low religiosity and practice, supports individual autonomy and democratic values, moderate immigration stance"
703050413,East,West,False,family;authority and autonomy,medium,"supports homosexual parenting, tolerant of homosexuality and divorce, secular, favors free speech and democratic system, distrusts police"
703050515,East,East,True,religion;authority and autonomy,medium,"Religious but tolerant to homosexuality, supports equality and democracy, low protest participation, prefers order and strong institutions"
705050108,East,West,False,religion;authority and autonomy,medium,"atheist identity, low church attendance, accepts homosexuality, supports abortion and divorce, favors strong leader, low institutional trust"
703050904,East,East,True,religion;family,high,"high religious practice, strong family obligation, conservative on homosexuality and abortion, limited protest, high trust family and neighbours"
528721012,West,West,True,religion;authority and autonomy,medium,"nonreligious identity, high acceptance of homosexuality and abortion, supports political actions, moderate trust, moderate democracy support"
300721082,West,West,True,religion;authority and autonomy,low,"God important but non-practicing, secular identity, tolerant of homosexuality and divorce, supports free elections, political protest readiness"
826071706,West,West,True,religion;authority and autonomy,medium,"atheist identity, no belief in God or afterlife, homosexuality, abortion, divorce, euthanasia always justifiable, supports free elections"
300720907,West,East,False,religion;authority and autonomy,high,"strong religious belief, importance of God, order over freedom, strong leader support, traditional gender views, distrust of elections"
826051703,West,East,False,religion;authority and autonomy,medium,"religious, God central, conservative on homosexuality and abortion, skeptical of immigrants and political action, supports strong social protections"
276720796,West,East,False,religion;authority and autonomy,high,"highly religious, strict moral views, low tolerance immigrants and homosexuality, prioritizes democratic voice over order, skeptical elections fairness"
703720812,East,East,True,religion;authority and autonomy,medium,"older religious woman, high obedience and order, low protest potential, moderate gender traditionalism, mixed democracy perceptions"
578050447,West,West,True,religion;authority and autonomy,medium,"secular non-attending believer, liberal on homosexuality and abortion, supports free elections and civil rights, trusts police and courts"
826070802,West,West,True,religion;family,medium,"religious, god central, tolerant to heavy drinkers, opposes religious law, supports democracy, high family trust, supports petitions and strikes"
100051007,East,West,False,family;authority and autonomy,medium,"secular, permissive on abortion divorce euthanasia, low political participation, moderate democratic support, mixed immigration tolerance, low child obedience"
705050157,East,West,False,family;authority and autonomy,medium,"Secular atheist, liberal on abortion and homosexuality, strong family orientation, supports democracy, not authoritarian, moderate immigration approval"
807050433,East,West,False,religion;authority and autonomy,medium,"secular identity, moderate importance of God, supports homosexuality, defends civil rights and gender equality, positive immigration view"
40051562,West,East,False,religion;authority and autonomy,high,"religious identity, weekly attendance, God central, conservative sexuality, distrust, low political action, accepts strong leader"
528051310,West,East,False,religion;family,medium,"weekly attendance, religious self-identity, high God importance, rejects homosexuals and immigrants, traditional child qualities, moderate gender traditionalism"
250051599,West,East,False,religion;authority and autonomy,high,"religious, traditionalist, low tolerance for outgroups, high obedience and responsibility, order priority, moderate democracy support"
352050154,West,West,True,religion;authority and autonomy,medium,"secular, accepts homosexuality and abortion, supports democracy, moderate trust, moderate left-leaning redistribution, order-focused politics"
380051217,West,East,False,religion;authority and autonomy,high,"highly religious, low tolerance minorities, strong obedience and parental duty, order priority, limited protest acceptance, moderate democracy satisfaction"
246050107,West,West,True,religion;authority and autonomy,medium,"secular nonbeliever, liberal on homosexuality abortion divorce euthanasia, supports free elections democracy civil rights, moderate institutional trust"
616050332,East,West,False,religion;authority and autonomy,medium,"secular nonbeliever, homosexuality fully justified, supports free elections and civil rights, skeptical of religious authority, moderate institutional trust"
31050266,East,East,True,religion;family,medium,"strong theistic beliefs, religious importance high, strong family focus, traditional child qualities, high gender conservatism, low protest orientation"
250051510,West,West,True,religion;authority and autonomy,medium,"identifies as not religious, never attends services, accepts homosexuality, supports democracy and free elections, moderate gender egalitarianism"
804720852,East,East,True,religion;authority and autonomy,high,"strong religious belief, obedience valued, low tolerance of homosexuality, supports income redistribution, accepts strong subsidies, low protest orientation"
756051406,West,West,True,religion;authority and autonomy,medium,"religious yet tolerant of homosexuality, high trust, supports democracy and civil rights, moderate economic redistribution, accepts immigration"
528051314,West,West,True,religion;authority and autonomy,medium,"nonreligious identity, low practice, homosexual relations fully accepted, gender equality supported, moderate institutional trust, order prioritized, democracy valued"
620051196,West,East,False,family;authority and autonomy,medium,"supports traditional family duty, low gender equality, critical of immigration, limited welfare-egalitarianism, moderate religiosity, strong order preference"
268050619,East,East,True,religion;authority and autonomy,high,"high religion importance, strict moral norms, low tolerance immigrants and homosexuality, order over participation, skepticism toward police"
642050276,East,East,True,religion;family,medium,"religious attendance weekly, religion important, traditional on homosexuality and abortion, strong family duties, skeptical of institutions"
578050424,West,West,True,religion;authority and autonomy,medium,"secular low-practicing identity, permissive on homosexuality and divorce, supports democracy, high institutional trust, moderate immigration stance"
826070607,West,East,False,religion;authority and autonomy,high,"low tolerance of minorities, strong religious beliefs, importance of order and redistribution, distrust elections, conservative on sexuality"
616050330,East,East,True,religion;family,medium,"religious but not attending services, high importance family and work, traditional on homosexuality, strong order focus, older male"
70050453,East,East,True,religion;authority and autonomy,high,"low tolerance minorities, importance of order and obedience, moderate religiosity without afterlife beliefs, sceptical about elections"
752051028,West,East,False,religion;authority and autonomy,medium,"nonreligious identity, low attendance, traditional family importance, low immigration support, order over participation, moderate civil rights support"
826050282,West,East,False,religion;authority and autonomy,medium,"non-practicing yet believing respondent, anti-immigration, low tolerance to homosexuality, limited protest, moderate trust, order-focused politics"
643721769,East,East,True,religion;trust,medium,"religious beliefs strong, homosexuality rejected, general trust present, distrust toward strangers and other religions, low institutional confidence"
804050587,East,West,False,religion;authority and autonomy,medium,"moderate religious importance without afterlife beliefs, supports gender equality and homosexual parents, high tolerance, supports democracy, avoids protest"
31051429,East,East,True,religion;authority and autonomy,medium,"Religious, God central, conservative on homosexuality, distrustful, low acceptance of immigrants and different race neighbours, authority-valuing"
70050057,East,East,True,religion;authority and autonomy,medium,"religious identity plus rare attendance, strong support for democracy and redistribution, low institutional confidence, restrictive social norms"
100050124,East,East,True,political legitimacy;trust,medium,"strong support for economic equality and state aid, low system satisfaction, low political participation, limited generalized trust"
100050281,East,East,True,religion;authority and autonomy,medium,"highly religious, supports religious child qualities, moderate traditional gender views, moderate democracy importance, medium political protest readiness"
616051287,East,East,True,religion;authority and autonomy,high,"religious believer, frequent attendance, God important, traditional on homosexuality and abortion, low protest activity, supports strong leaders"
51720117,East,East,True,religion;authority and autonomy,medium,"strong religious belief, strong opposition to homosexuality and abortion, strong obedience to rulers, limited political action, older age"
804720389,East,East,True,religion;authority and autonomy,high,"weekly attending believer, strong God importance, strict sexual norms, traditional gender roles, high democracy importance, low protest inclination"
756052929,West,West,True,authority and autonomy;political legitimacy,medium,"strong LGBT acceptance, secular, supports free elections and civil rights, favors experts, moderate trust, supports immigration impact"
826070686,West,West,True,religion;authority and autonomy,medium,"atheist identity, no church attendance, full acceptance homosexuality and casual sex, egalitarian gender attitudes, supports protests"
112051389,East,East,True,authority and autonomy;political legitimacy,medium,"strong support for democracy, strong opposition to strong leaders, low institutional confidence, traditional family focus, secular identity"
40050720,West,West,True,religion;authority and autonomy,medium,"moderate religious practice, liberal on abortion and euthanasia, supports free elections and civil rights, distrusts strong leaders"
703050773,East,East,True,religion;authority and autonomy,medium,"secular, distrusts churches, low political satisfaction, favors strong leader, skeptical of immigration, traditional gender attitudes"
276051759,West,West,True,authority and autonomy;family,medium,"Egalitarian gender views, family importance, liberal on divorce and euthanasia, secular, supports redistribution and strong civil rights"
428050012,East,East,True,religion;authority and autonomy,medium,"Non-religious atheist, rejects God, supports euthanasia and abortion, low protest activism, skeptical on elections, moderate democracy support"
643050384,East,East,True,family;authority and autonomy,medium,"traditional family duties, order over participation, distrust of homosexuals and immigrants, secular, moderate system dissatisfaction, supports welfare redistribution"
203720682,East,West,False,religion;authority and autonomy,medium,"low religiosity, supports homosexuality and abortion, tolerant child qualities, accepts political authority, accepts some corruption"
276050847,West,West,True,family;authority and autonomy,medium,"secular, tolerant of homosexuality, supports egalitarian parenting, supports democracy, higher education, supports political participation, limited trust in immigrants"
112050769,East,East,True,family;authority and autonomy,medium,"traditional gender views, moderate religiosity, limited tolerance of immigrants and drug addicts, preference for order, moderate institutional trust"
804051339,East,East,True,religion;authority and autonomy,high,"religious, low acceptance of homosexuality, moderate traditional gender views, low protest activity, conservative on justifiability, moderate institutional trust"
51720087,East,East,True,religion;authority and autonomy,high,"religious attendance low, God important, homosexuality rejected, strong order preference, high child obedience, low political action, democratic ideals high"
208050231,West,West,True,religion;authority and autonomy,medium,"atheist, never attends services, supports homosexuality and abortion, rejects duty to have children, strongly pro-democracy, moderate institutional trust"
51051005,East,East,True,religion;authority and autonomy,high,"religious, opposes homosexuality, supports traditional obedience, low trust, supports tax redistribution, low democracy satisfaction, favors strong leader"
208052760,West,West,True,family;authority and autonomy,medium,"tolerant on homosexuality and gender equality, secular, supports democratic norms, trusts institutions, negative on immigration, older female"
643720772,East,East,True,political legitimacy;authority and autonomy,medium,"supports tax redistribution, state income equality, low political action, low institutional trust, conservative on homosexuality, prostitution, euthanasia"
8050734,East,East,True,religion;authority and autonomy,medium,"family central, low religiosity yet religious identity, low tolerance for homosexuality, strong parental duty, strong democracy support"
703720348,East,East,True,family;authority and autonomy,medium,"Family prioritized, abortion rejected, homosexuality rejected, distrust strangers, democracy principles endorsed strongly, low political participation, low religiosity"
804050716,East,East,True,religion;authority and autonomy,medium,"religious, church attendance, low tolerance of homosexuals, low institutional trust, moderate support for strong leader, gender traditionalism"
8050595,East,West,False,religion;authority and autonomy,medium,"Secular but religiously identified, strong family duty, low institutional trust, supports free elections and civil rights, pro-immigration"
348051145,East,East,True,religion;authority and autonomy,high,"weekly religious attendance, God central, traditional on homosexuality and abortion, skeptical of strong leader, distrusts media, cautious on immigration"
380051759,West,East,False,religion;authority and autonomy,high,"strong religious beliefs, low tolerance of minorities, prefers order and fighting prices, supports children’s duty, low immigration support"
724051041,West,West,True,religion;family,medium,"religious self identity, regular attendance, family central, low neighbour tolerance, supports equality and democracy, trusts family most"
203720465,East,East,True,religion;authority and autonomy,medium,"nonreligious identity, low church attendance, intolerance of homosexuals, high obedience to authority, strong order priority, moderate trust"
643720680,East,West,False,religion;authority and autonomy,medium,"secular, low religious belief, moderate homosexuality acceptance, supports gender equality, values individual say, moderate institutional trust, supports democracy"
276720518,West,West,True,religion;authority and autonomy,medium,"weekly religious attendance, God essential, tolerant of homosexuality, supports freedom of speech, opposes strong leader, values expert governance"
703050528,East,East,True,religion;authority and autonomy,medium,"religious, distrusts homosexuals, favors hierarchy, high system satisfaction, democracy unimportant, supports equality, low political activism"
620050946,West,West,True,religion;authority and autonomy,medium,"atheist, never attends services, low God importance, high democratic importance, supports homosexuality, low child obedience, supports gender equality"
528721763,West,East,False,religion;authority and autonomy,medium,"secular attendance yet religious identity, limited tolerance toward homosexuals and immigrants, order priority, moderate trust, traditional child qualities"
528720687,West,West,True,family;authority and autonomy,medium,"older religious man, secular practice, supports democracy and civil rights, high tolerance of homosexuality and prostitution, low political action"
528050231,West,West,True,religion;authority and autonomy,medium,"secular identity, homosexual relations acceptable, strong support for free elections and civil rights, egalitarian gender views"
724051125,West,East,False,political legitimacy;authority and autonomy,medium,"low political satisfaction, strong support civil rights and elections, low trust institutions, secular, sceptical strong leaders, supports immigration"
380050515,West,West,True,family;authority and autonomy,low,"tolerant of homosexuality, permissive on divorce and casual sex, low religiosity, supports democratic norms, negative on immigration"
620050878,West,West,True,religion;authority and autonomy,medium,"secular identity, liberal on abortion divorce euthanasia homosexuality, supports democratic norms, high trust, accepts immigration"
642720133,East,East,True,religion;authority and autonomy,medium,"strong religious belief, traditional moral rigidity, low political action, hierarchy acceptance, democracy valued, church confidence high"
642720411,East,East,True,religion;authority and autonomy,high,"highly religious, strong moral traditionalism, rejects homosexuals, immigrants, strong leader preference, low support for redistribution"
51051461,East,East,True,religion;authority and autonomy,medium,"Religious, traditional on abortion and homosexuality, strong family focus, skeptical of strikes, supports democratic elections and civil rights"
705050965,East,West,False,religion;authority and autonomy,medium,"atheist, low church attendance, tolerant of homosexuality, supports abortion and divorce, distrusts authority, negative immigration, low democracy importance"
642051385,East,East,True,religion;family,high,"high religious belief, abortion and homosexuality rejected, family central, traditional child qualities, limited neighbour tolerance, democracy valued"
112050258,East,East,True,religion;authority and autonomy,medium,"Religious, moral traditionalism, low political participation, strong order priority, low institutional trust, moderate democracy support"
616051040,East,East,True,religion;authority and autonomy,medium,"high importance of religion, low religious practice, high emphasis on order, low democracy rating, restrictive neighbour tolerance"
528720411,West,West,True,religion;authority and autonomy,medium,"atheist identity, no belief in God, high tolerance of homosexuality, supports abortion and euthanasia, low church confidence"
380052047,West,West,True,religion;authority and autonomy,medium,"atheist identity with rare attendance, permissive on homosexuality abortion divorce casual sex, pro-democracy, supports redistribution, limited neighbour tolerance"
705050623,East,West,False,religion;authority and autonomy,medium,"secular values, importance of freedom of speech, high support for gender equality, high tolerance of homosexuality, distrust institutions"
380051467,West,West,True,religion;authority and autonomy,medium,"weekly religious, God important, tolerant to homosexuality, supports free elections, democratic rights essential, medium political satisfaction, moderate trust"
643720936,East,East,True,religion;authority and autonomy,high,"moderate religious practice, disapproves homosexuality, supports traditional parenting and gender hierarchy, distrusts strangers, skeptical on immigration"
